feature	accession	entry	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance
psvid_46749_sp|P14780|MMP9_HUMAN	P14780	MMP9_HUMAN	0.756121889243861	0.1968386850461301	1.315405093441592	0.2510018232837865	3.0124159233256966	0.013066601697655241	0.9999441429887896	0.3267372247789325	22.788116149811252
psvid_52093_sp|Q96S06|LMF1_HUMAN	Q96S06	LMF1_HUMAN	0.6177522283751227	0.13705509762283563	1.0984493591274096	0.21573302284159365	2.8635033257227374	0.01685882934527947	0.9999441429887896	0.22781222126570505	22.616439573578596
psvid_78187_sp|P02654|APOC1_HUMAN	P02654	APOC1_HUMAN	0.5370082937660445	0.015273952942644997	1.0587426345894442	0.23415019409404444	2.2934351852399475	0.044756711073899114	0.9999441429887896	0.28197705991425515	25.69327432269803
psvid_99364_sp|P30046|DOPD_HUMAN	P30046	DOPD_HUMAN	-0.6590919557493438	-1.3162710167763132	-0.0019128947223744364	0.2949366998751817	-2.2346895317818163	0.04945314986897089	0.9999441429887896	0.4320792865817316	24.441157892104975
psvid_41137_sp|Q86UT6|NLRX1_HUMAN	Q86UT6	NLRX1_HUMAN	0.5229932164412121	-0.012928170837358532	1.0589146037197827	0.24051722693274338	2.174452213302203	0.05476216627771446	0.9999441429887896	0.29930415123579546	23.083861305015432
psvid_67692_sp|P04062|GBA1_HUMAN	P04062	GBA1_HUMAN	0.4528424470363124	-0.0971864008719473	1.0028712949445722	0.24684854229029216	1.834495123344795	0.0964702946741871	0.9999441429887896	0.3160163285100484	23.028026348006037
psvid_62500_sp|Q9Y230|RUVB2_HUMAN	Q9Y230	RUVB2_HUMAN	0.40040759343861954	-0.09039286076562253	0.8912080476428617	0.22026731349905096	1.8178257458083753	0.09913467384392836	0.9999441429887896	0.24184051209906984	21.427946764804872
psvid_66580_sp|Q9Y281|COF2_HUMAN	Q9Y281	COF2_HUMAN	0.5459562282481727	-0.1293514983842583	1.2212639548806037	0.3030726998239021	1.801403519899338	0.10182563801823029	0.9999441429887896	0.4504520402570852	22.294070539989143
psvid_68413_sp|P00846|ATP6_HUMAN	P00846	ATP6_HUMAN	-0.5218340571416427	-1.1689902266960368	0.12532211241275149	0.29043850644596786	-1.7967109923791142	0.10260679700330519	0.9999441429887896	0.421802432980157	22.870638691895618
psvid_62663_sp|P35914|HMGCL_HUMAN	P35914	HMGCL_HUMAN	0.43405406375763533	-0.10439981059226067	0.9725079381075313	0.24165378685010602	1.7961815099834215	0.10269528371518254	0.9999441429887896	0.3023397151140639	23.637466376671135
psvid_89442_sp|Q8N1S5|S39AB_HUMAN	Q8N1S5	S39AB_HUMAN	0.38859021514034975	-0.098455435395848	0.8756358656765475	0.21858218768143642	1.7777762189235864	0.1058149940680112	0.9999441429887896	0.2366903197190183	23.273704104293316
psvid_73785_sp|Q8N2U9|S66A2_HUMAN	Q8N2U9	S66A2_HUMAN	-0.7401019544191048	-1.687886420565023	0.2076825117268134	0.4253580785139567	-1.7399503895747	0.11250014733719356	0.9999441429887896	0.7069403778139953	23.300986598647512
psvid_40213_sp|Q7L576|CYFP1_HUMAN	Q7L576	CYFP1_HUMAN	-0.43302515658815377	-0.9914532406506635	0.125402927474356	0.2506180522149323	-1.7278290720126879	0.11472242015391282	0.9999441429887896	0.3257539888611409	23.91385229212137
psvid_43856_sp|Q8N128|F177A_HUMAN	Q8N128	F177A_HUMAN	0.5854460514075415	-0.17073215477190706	1.3416242575869899	0.33936672343087443	1.725113309545775	0.11522575153216993	0.9999441429887896	0.5297289074089236	23.29378918728809
psvid_165824_sp|P61960|UFM1_HUMAN	P61960	UFM1_HUMAN	0.601147543763326	-0.17677585564374487	1.379070943170397	0.34912579201513644	1.7218651772861946	0.11583038164368749	0.9999441429887896	0.5504586476124399	23.616316233589988
psvid_47747_sp|O14936|CSKP_HUMAN	O14936	CSKP_HUMAN	-0.6962753296095476	-1.618653835864452	0.22610317664535673	0.41395608716671667	-1.6820028771050048	0.123488131112343	0.9999441429887896	0.6840117259845708	22.34191543212554
psvid_89411_sp|O76062|ERG24_HUMAN	O76062	ERG24_HUMAN	-0.4813889877166364	-1.135842510867961	0.17306453543468814	0.2937135003027983	-1.6389746716455242	0.13226314181876384	0.9999441429887896	0.42929349316149235	24.240311953158773
psvid_82107_sp|O00560|SDCB1_HUMAN	O00560	SDCB1_HUMAN	-0.5012302572547611	-1.1891325117389946	0.18667199722947225	0.30872502306635585	-1.623549177440758	0.13554235068869944	0.9999441429887896	0.463067481606663	21.62549884099634
psvid_59818_sp|Q96DC8|ECHD3_HUMAN	Q96DC8	ECHD3_HUMAN	-0.40975780997486133	-0.9762879052979253	0.15677228534820264	0.2542541699874694	-1.6116070387166344	0.13813062993676758	0.9999441429887896	0.33501282988173536	22.297344668113162
psvid_90367_sp|Q9Y3D7|TIM16_HUMAN	Q9Y3D7	TIM16_HUMAN	1.0395435434556353	-0.40178346481555893	2.4808705517268295	0.6468560191132283	1.607070990667661	0.13912521542156722	0.9999441429887896	1.1363268350865035	21.716531826959596
psvid_107318_sp|Q9NYL4|FKB11_HUMAN	Q9NYL4	FKB11_HUMAN	-0.3908939234052822	-0.9392025019617215	0.15741465515115716	0.24607649918117447	-1.588505707395835	0.14326247623767677	0.9999441429887896	0.31400328204238226	25.59260446111276
psvid_18626_sp|P63167|DYL1_HUMAN	P63167	DYL1_HUMAN	-0.2897674354238928	-0.7196395074632934	0.14010463661550776	0.19292314350016115	-1.5019837960687739	0.16400883852818265	0.9999441429887896	0.14433903526033756	20.79719865319052
psvid_50763_sp|O75027|ABCB7_HUMAN	O75027	ABCB7_HUMAN	-0.5027005726292977	-1.252481197117569	0.24708005185897342	0.3364955399999399	-1.4939293775762599	0.16606747961331556	0.9999441429887896	0.523589237719293	23.880013438377958
psvid_80162_sp|P14406|CX7A2_HUMAN	P14406	CX7A2_HUMAN	0.35056874428639606	-0.17632826103702925	0.8774657496098214	0.2364671565788517	1.482526154406971	0.16902038672261038	0.9999441429887896	0.28834867313044366	24.512538253383763
