feature	first_member_id	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance
sp|Q08722|CD47_HUMAN	psvid_40342_sp|Q08722|CD47_HUMAN	1.2276211217864592	0.8510931208569232	1.6041491227159952	0.1414105212127769	8.68125731563699	0.0005728059343003638	0.6459553375327137	0.20734328630354995	-15.04390687069981
sp|P61966|AP1S1_HUMAN	psvid_87408_sp|P61966|AP1S1_HUMAN	-1.4521216731816393	-1.9021399665584995	-1.0021033798047791	0.16901086045288657	-8.591883795458413	0.0005986611098542296	0.6459553375327137	0.26189490680359545	-13.569891439918516
sp|Q9H0C2|ADT4_HUMAN	psvid_79092_sp|Q9H0C2|ADT4_HUMAN	0.5879780877509253	0.3571942543363795	0.8187619211654711	0.08667419711168044	6.783773110621499	0.001618115748273686	0.6821189646413428	0.0754414651745532	-12.91149904797934
sp|Q02325|PLGB_HUMAN	psvid_44984_sp|Q02325|PLGB_HUMAN	-1.1609391216334681	-1.628080598187105	-0.6937976450798313	0.17544171885351578	-6.617235223298221	0.001793327169169945	0.6821189646413428	0.27423902456999083	-12.494638120824114
sp|Q9P2R3|ANFY1_HUMAN	psvid_38492_sp|Q9P2R3|ANFY1_HUMAN	-0.78855270106805	-1.115823263089319	-0.46128213904678106	0.12291117961685641	-6.415630405030345	0.0020370308608800573	0.6821189646413428	0.16846993335550406	-16.49609854453643
sp|P06756|ITAV_HUMAN	psvid_73598_sp|P06756|ITAV_HUMAN	-0.7260417403792725	-1.04484065119201	-0.4072428295665349	0.1197295288233595	-6.06401568196617	0.0025649305270662756	0.6821189646413428	0.16147950571542316	-14.935728668191167
sp|Q13085|ACACA_HUMAN	psvid_30800_sp|Q13085|ACACA_HUMAN	-0.5351306540596514	-0.773381333558879	-0.2968799745604239	0.08947847884914417	-5.980551535323399	0.0027135040537094785	0.6821189646413428	0.0846597720768401	-16.23293070283706
sp|O15245|S22A1_HUMAN	psvid_56180_sp|O15245|S22A1_HUMAN	-0.5549250252408595	-0.8038707418521713	-0.30597930862954775	0.09349515428543625	-5.935334611531843	0.002798306126858151	0.6821189646413428	0.09676292694907467	-14.350749500721578
sp|Q96RQ1|ERGI2_HUMAN	psvid_42509_sp|Q96RQ1|ERGI2_HUMAN	0.6616333671707868	0.34570773827402823	0.9775589960675454	0.11865042635999215	5.57632523934936	0.003597670514796185	0.6821189646413428	0.15908202024857063	-14.154402115912053
sp|P11215|ITAM_HUMAN	psvid_23094_sp|P11215|ITAM_HUMAN	1.0146918843898316	0.5198568774382439	1.5095268913414193	0.18584242360356965	5.459958306152554	0.0039137229501100875	0.6821189646413428	0.29399591960808946	-16.588502432517153
sp|O95197|RTN3_HUMAN	psvid_52886_sp|O95197|RTN3_HUMAN	0.5268831059481509	0.26256167375504047	0.7912045381412613	0.09926972602797306	5.307591015207208	0.0043792858636137084	0.6821189646413428	0.11264440005122843	-14.680596306271706
sp|O00168|PLM_HUMAN	psvid_36643_sp|O00168|PLM_HUMAN	1.204219514435962	0.5988404408572812	1.8095985880146428	0.22735884214382743	5.2965589685496886	0.004415496052974824	0.6821189646413428	0.37106100553828986	-12.743770359923776
