feature	accession	entry	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance
psvid_52093_sp|Q96S06|LMF1_HUMAN	Q96S06	LMF1_HUMAN	0.6177522283751227	0.21868071567140973	1.0168237410788357	0.17485273303827367	3.5329858312246243	0.006979372076250178	0.9999395271090271	0.20336758113321102	22.616439573578596
psvid_46749_sp|P14780|MMP9_HUMAN	P14780	MMP9_HUMAN	0.756121889243861	0.24503136899153088	1.2672124094961912	0.22393373481013604	3.3765430201257747	0.008862371529403354	0.9999395271090271	0.32856582878854806	22.788116149811252
psvid_68413_sp|P00846|ATP6_HUMAN	P00846	ATP6_HUMAN	-0.5218340571416427	-0.9115089427205669	-0.1321591715627184	0.17073561146530206	-3.0563867295352907	0.014574028549493452	0.9999395271090271	0.19109462836773689	22.870638691895618
psvid_41137_sp|Q86UT6|NLRX1_HUMAN	Q86UT6	NLRX1_HUMAN	0.5229932164412121	0.10761585683081232	0.9383705760516119	0.18199712146334943	2.8736345511186148	0.01944417173104413	0.9999395271090271	0.22368064114320102	23.083861305015432
psvid_99364_sp|P30046|DOPD_HUMAN	P30046	DOPD_HUMAN	-0.6590919557493438	-1.1926651699064208	-0.12551874159226684	0.23378450177837756	-2.8192286089783147	0.02119716086636352	0.9999395271090271	0.3511368378652254	24.441157892104975
psvid_34616_sp|Q14678|KANK1_HUMAN	Q14678	KANK1_HUMAN	-0.5507065936346418	-1.00572385640243	-0.09568933086685355	0.19936530030799632	-2.7622991201772016	0.023205603015298622	0.9999395271090271	0.2693880344431772	23.84080566366396
psvid_78187_sp|P02654|APOC1_HUMAN	P02654	APOC1_HUMAN	0.5370082937660445	0.08561559013304565	0.9884009973990434	0.19777720381250105	2.715218353856115	0.02501307317205009	0.9999395271090271	0.2653750867824611	25.69327432269803
psvid_88323_sp|O75380|NDUS6_HUMAN	O75380	NDUS6_HUMAN	0.4664652327776375	0.016583152552151648	0.9163473130031234	0.1971153258708617	2.366458471540858	0.04369943688490342	0.9999395271090271	0.2636941708778445	24.717957549991915
psvid_89411_sp|O76062|ERG24_HUMAN	O76062	ERG24_HUMAN	-0.4813889877166364	-0.9502323663487918	-0.012545609084480991	0.20542319737463888	-2.3434012997018403	0.045343279167464286	0.9999395271090271	0.28445294825710055	24.240311953158773
psvid_20272_sp|O15145|ARPC3_HUMAN	O15145	ARPC3_HUMAN	0.37940351713239284	0.005273978237140375	0.7535330560276453	0.16392443535490517	2.3145025103241257	0.047490611053456866	0.9999395271090271	0.1695916802223211	22.29104355421058
