protein_id	entry	sample_id	batch	lfq	n_unique_peptides_msms_run	n_unique_peptides_mbr_run	mbr_intensity_frac_run	n_runs_with_psm_any
psvid_35997_sp|O43903|GAS2_HUMAN	GAS2_HUMAN	AZ910	B2021-05-06	19.8135	0	1	1	1
psvid_36042_sp|Q8IV08|PLD3_HUMAN	PLD3_HUMAN	AZ910	B2021-05-06	20.9549	0	1	1	5
psvid_36285_sp|Q92556|ELMO1_HUMAN	ELMO1_HUMAN	AZ910	B2021-05-06	20.9839	0	1	1	3
psvid_36471_sp|P00742|FA10_HUMAN	FA10_HUMAN	AZ910	B2021-05-06	21.426	0	2	1	5
psvid_36474_sp|Q02880|TOP2B_HUMAN	TOP2B_HUMAN	AZ910	B2021-05-06	18.5989	0	1	1	2
psvid_36489_sp|Q8WXG9|AGRV1_HUMAN	AGRV1_HUMAN	AZ910	B2021-05-06	22.486	0	1	1	3
psvid_36948_sp|Q9UI38|TSP50_HUMAN	TSP50_HUMAN	AZ910	B2021-05-06	20.3334	0	1	1	3
psvid_37010_sp|O60869|EDF1_HUMAN	EDF1_HUMAN	AZ910	B2021-05-06	22.3743	0	1	1	6
psvid_37048_sp|P48506|GSH1_HUMAN	GSH1_HUMAN	AZ910	B2021-05-06	19.0974	0	1	1	4
psvid_37290_sp|Q8IXS0|F217A_HUMAN	F217A_HUMAN	AZ910	B2021-05-06	22.9532	0	1	1	2
psvid_37319_sp|Q12983|BNIP3_HUMAN	BNIP3_HUMAN	AZ910	B2021-05-06	20.5114	0	3	1	6
psvid_37457_sp|Q9HBF4|ZFYV1_HUMAN	ZFYV1_HUMAN	AZ910	B2021-05-06	21.153	0	1	1	2
psvid_37827_sp|A8TX70|CO6A5_HUMAN	CO6A5_HUMAN	AZ910	B2021-05-06	19.5193	0	1	1	2
psvid_38352_sp|P30876|RPB2_HUMAN	RPB2_HUMAN	AZ910	B2021-05-06	18.0349	0	1	1	1
psvid_38798_sp|Q9UIJ7|KAD3_HUMAN	KAD3_HUMAN	AZ910	B2021-05-06	23.4674	0	2	1	7
psvid_38927_sp|Q99570|PI3R4_HUMAN	PI3R4_HUMAN	AZ910	B2021-05-06	19.0273	0	1	1	2
psvid_39213_sp|P49913|CAMP_HUMAN	CAMP_HUMAN	AZ910	B2021-05-06	20.8434	0	1	1	6
psvid_39830_sp|Q9H489|TSY26_HUMAN	TSY26_HUMAN	AZ910	B2021-05-06	21.2022	0	1	1	2
psvid_39884_sp|Q6P1M3|L2GL2_HUMAN	L2GL2_HUMAN	AZ910	B2021-05-06	21.8328	0	1	1	5
psvid_40291_sp|Q8IWA5|CTL2_HUMAN	CTL2_HUMAN	AZ910	B2021-05-06	23.0797	0	2	1	4
psvid_40893_sp|Q9BV57|MTND_HUMAN	MTND_HUMAN	AZ910	B2021-05-06	19.6474	0	1	1	5
psvid_41137_sp|Q86UT6|NLRX1_HUMAN	NLRX1_HUMAN	AZ910	B2021-05-06	22.9359	0	3	1	5
psvid_41743_sp|O00182|LEG9_HUMAN	LEG9_HUMAN	AZ910	B2021-05-06	19.8669	0	1	1	3
psvid_42136_sp|O60749|SNX2_HUMAN	SNX2_HUMAN	AZ910	B2021-05-06	22.0981	0	1	1	7
psvid_42660_sp|Q9UKD2|MRT4_HUMAN	MRT4_HUMAN	AZ910	B2021-05-06	17.9995	0	1	1	3
psvid_43000_sp|O60427|FADS1_HUMAN	FADS1_HUMAN	AZ910	B2021-05-06	22.4955	0	2	1	4
psvid_43120_sp|Q9H300|PARL_HUMAN	PARL_HUMAN	AZ910	B2021-05-06	19.3292	0	1	1	2
psvid_43879_sp|Q9Y5Y2|NUBP2_HUMAN	NUBP2_HUMAN	AZ910	B2021-05-06	21.9114	0	1	1	4
psvid_44546_sp|O94832|MYO1D_HUMAN	MYO1D_HUMAN	AZ910	B2021-05-06	21.2359	0	1	1	7
psvid_44906_sp|O95714|HERC2_HUMAN	HERC2_HUMAN	AZ910	B2021-05-06	19.4143	0	1	1	2
psvid_45004_sp|P54289|CA2D1_HUMAN	CA2D1_HUMAN	AZ910	B2021-05-06	21.0345	0	1	1	3
psvid_45170_sp|P17050|NAGAB_HUMAN	NAGAB_HUMAN	AZ910	B2021-05-06	20.2397	0	1	1	4
psvid_45541_sp|Q14031|CO4A6_HUMAN	CO4A6_HUMAN	AZ910	B2021-05-06	20.139	0	1	1	1
psvid_45647_sp|Q9UKK9|NUDT5_HUMAN	NUDT5_HUMAN	AZ910	B2021-05-06	20.6079	0	1	1	7
psvid_45922_sp|Q7L1S5|CHST9_HUMAN	CHST9_HUMAN	AZ910	B2021-05-06	20.7978	0	1	1	4
psvid_46845_sp|P21283|VATC1_HUMAN	VATC1_HUMAN	AZ910	B2021-05-06	22.9972	0	1	1	2
psvid_47289_sp|Q96EX1|SIM12_HUMAN	SIM12_HUMAN	AZ910	B2021-05-06	21.4501	0	1	1	5
psvid_47431_sp|Q6ZUT9|DEN5B_HUMAN	DEN5B_HUMAN	AZ910	B2021-05-06	26.2856	0	1	1	1
psvid_47623_sp|P50213|IDH3A_HUMAN	IDH3A_HUMAN	AZ910	B2021-05-06	17.7465	0	1	1	5
psvid_48006_sp|Q8N684|CPSF7_HUMAN	CPSF7_HUMAN	AZ910	B2021-05-06	19.4324	0	1	1	2
psvid_48174_sp|P29322|EPHA8_HUMAN	EPHA8_HUMAN	AZ910	B2021-05-06	22.5252	0	1	1	2
psvid_48501_sp|A6NEL2|SWAHB_HUMAN	SWAHB_HUMAN	AZ910	B2021-05-06	21.6212	0	1	1	3
psvid_48668_sp|Q9H9J2|RM44_HUMAN	RM44_HUMAN	AZ910	B2021-05-06	19.2558	0	1	1	1
psvid_48863_sp|P05455|LA_HUMAN	LA_HUMAN	AZ910	B2021-05-06	24.1335	0	1	1	4
psvid_49033_sp|P13498|CY24A_HUMAN	CY24A_HUMAN	AZ910	B2021-05-06	21.4565	0	1	1	4
psvid_49142_sp|Q9Y3E7|CHMP3_HUMAN	CHMP3_HUMAN	AZ910	B2021-05-06	19.6481	0	1	1	3
psvid_49155_sp|Q6PJI9|WDR59_HUMAN	WDR59_HUMAN	AZ910	B2021-05-06	19.5474	0	1	1	5
psvid_49191_sp|P05106|ITB3_HUMAN	ITB3_HUMAN	AZ910	B2021-05-06	21.1923	0	1	1	4
psvid_49311_sp|Q5R3I4|TTC38_HUMAN	TTC38_HUMAN	AZ910	B2021-05-06	20.8396	0	1	1	6
psvid_49540_sp|P49746|TSP3_HUMAN	TSP3_HUMAN	AZ910	B2021-05-06	20.6356	0	1	1	3
psvid_49579_sp|Q9NUT2|MITOS_HUMAN	MITOS_HUMAN	AZ910	B2021-05-06	23.4195	0	1	1	7
psvid_50297_sp|Q9BZE4|GTPB4_HUMAN	GTPB4_HUMAN	AZ910	B2021-05-06	21.2744	0	1	1	2
psvid_50366_sp|P35858|ALS_HUMAN	ALS_HUMAN	AZ910	B2021-05-06	20.6066	0	1	1	5
psvid_5048_sp|Q9Y2Q5|LTOR2_HUMAN	LTOR2_HUMAN	AZ910	B2021-05-06	22.0065	0	2	1	6
psvid_50681_sp|Q8NCC3|PAG15_HUMAN	PAG15_HUMAN	AZ910	B2021-05-06	18.4223	0	1	1	5
psvid_51186_sp|Q10588|BST1_HUMAN	BST1_HUMAN	AZ910	B2021-05-06	19.6573	0	1	1	2
psvid_51529_sp|Q9HC38|GLOD4_HUMAN	GLOD4_HUMAN	AZ910	B2021-05-06	21.1592	0	2	1	5
psvid_52524_sp|P35659|DEK_HUMAN	DEK_HUMAN	AZ910	B2021-05-06	20.8534	0	1	1	2
psvid_52567_sp|Q7LBR1|CHM1B_HUMAN	CHM1B_HUMAN	AZ910	B2021-05-06	20.3429	0	1	1	3
psvid_52619_sp|P21757|MSRE_HUMAN	MSRE_HUMAN	AZ910	B2021-05-06	20.6885	0	2	1	5
psvid_53119_sp|Q96E22|NGBR_HUMAN	NGBR_HUMAN	AZ910	B2021-05-06	21.3144	0	1	1	3
psvid_53123_sp|Q96IY4|CBPB2_HUMAN	CBPB2_HUMAN	AZ910	B2021-05-06	19.8198	0	1	1	4
psvid_53178_sp|Q9BRA0|NAA38_HUMAN	NAA38_HUMAN	AZ910	B2021-05-06	19.3426	0	1	1	2
psvid_53694_sp|Q13263|TIF1B_HUMAN	TIF1B_HUMAN	AZ910	B2021-05-06	19.6848	0	1	1	2
psvid_54709_sp|A4FU69|EFCB5_HUMAN	EFCB5_HUMAN	AZ910	B2021-05-06	22.4936	0	1	1	5
psvid_55202_sp|Q07666|KHDR1_HUMAN	KHDR1_HUMAN	AZ910	B2021-05-06	21.0874	0	1	1	1
psvid_55759_sp|Q8N122|RPTOR_HUMAN	RPTOR_HUMAN	AZ910	B2021-05-06	19.0638	0	1	1	2
psvid_55948_sp|O15118|NPC1_HUMAN	NPC1_HUMAN	AZ910	B2021-05-06	19.6866	0	1	1	2
psvid_56020_sp|Q9BZF2|OSBL7_HUMAN	OSBL7_HUMAN	AZ910	B2021-05-06	22.7211	0	1	1	1
psvid_56479_sp|Q96A65|EXOC4_HUMAN	EXOC4_HUMAN	AZ910	B2021-05-06	18.0417	0	1	1	4
psvid_56634_sp|Q562E7|WDR81_HUMAN	WDR81_HUMAN	AZ910	B2021-05-06	19.918	0	1	1	2
psvid_56928_sp|Q9Y365|STA10_HUMAN	STA10_HUMAN	AZ910	B2021-05-06	21.9015	0	1	1	3
psvid_57045_sp|Q32M88|PGGHG_HUMAN	PGGHG_HUMAN	AZ910	B2021-05-06	19.6972	0	1	1	1
psvid_57275_sp|Q15818|NPTX1_HUMAN	NPTX1_HUMAN	AZ910	B2021-05-06	22.3729	0	1	1	2
psvid_57382_sp|O76031|CLPX_HUMAN	CLPX_HUMAN	AZ910	B2021-05-06	18.2368	0	1	1	2
psvid_58764_sp|Q9BW91|NUDT9_HUMAN	NUDT9_HUMAN	AZ910	B2021-05-06	20.3308	0	1	1	2
psvid_59162_sp|Q9HD42|CHM1A_HUMAN	CHM1A_HUMAN	AZ910	B2021-05-06	20.962	0	1	1	2
psvid_59264_sp|Q8N2F6|ARM10_HUMAN	ARM10_HUMAN	AZ910	B2021-05-06	20.6632	0	1	1	7
psvid_59286_sp|Q7Z2W9|RM21_HUMAN	RM21_HUMAN	AZ910	B2021-05-06	21.768	0	1	1	4
psvid_59506_sp|O75390|CISY_HUMAN	CISY_HUMAN	AZ910	B2021-05-06	21.9202	0	1	1	6
psvid_60391_sp|Q96CP7|TLCD1_HUMAN	TLCD1_HUMAN	AZ910	B2021-05-06	19.8667	0	1	1	2
psvid_60521_sp|Q9UG63|ABCF2_HUMAN	ABCF2_HUMAN	AZ910	B2021-05-06	21.6325	0	1	1	4
psvid_60681_sp|Q9H089|LSG1_HUMAN	LSG1_HUMAN	AZ910	B2021-05-06	23.2663	0	2	1	5
psvid_60736_sp|P42566|EPS15_HUMAN	EPS15_HUMAN	AZ910	B2021-05-06	20.7971	0	1	1	3
psvid_61377_sp|P48740|MASP1_HUMAN	MASP1_HUMAN	AZ910	B2021-05-06	21.5387	0	3	1	7
psvid_61856_sp|Q9NYJ1|COA4_HUMAN	COA4_HUMAN	AZ910	B2021-05-06	20.6119	0	1	1	4
psvid_61879_sp|P54753|EPHB3_HUMAN	EPHB3_HUMAN	AZ910	B2021-05-06	22.9628	0	1	1	2
psvid_62168_sp|Q92688|AN32B_HUMAN	AN32B_HUMAN	AZ910	B2021-05-06	19.3908	0	1	1	1
psvid_62911_sp|Q9UHR4|BI2L1_HUMAN	BI2L1_HUMAN	AZ910	B2021-05-06	19.9225	0	1	1	1
psvid_63168_sp|Q9Y375|CIA30_HUMAN	CIA30_HUMAN	AZ910	B2021-05-06	22.3762	0	1	1	4
psvid_63253_sp|Q03468|ERCC6_HUMAN	ERCC6_HUMAN	AZ910	B2021-05-06	22.8777	0	1	1	4
psvid_63398_sp|Q8WTW4|NPRL2_HUMAN	NPRL2_HUMAN	AZ910	B2021-05-06	21.4586	0	1	1	1
psvid_63796_sp|Q9Y5X3|SNX5_HUMAN	SNX5_HUMAN	AZ910	B2021-05-06	21.0483	0	2	1	4
psvid_63825_sp|Q99829|CPNE1_HUMAN	CPNE1_HUMAN	AZ910	B2021-05-06	21.1338	0	2	1	1
psvid_63946_sp|Q9H1C4|UN93B_HUMAN	UN93B_HUMAN	AZ910	B2021-05-06	21.1221	0	1	1	7
psvid_64855_sp|Q16881|TRXR1_HUMAN	TRXR1_HUMAN	AZ910	B2021-05-06	21.0348	0	1	1	7
psvid_64925_sp|Q99614|TTC1_HUMAN	TTC1_HUMAN	AZ910	B2021-05-06	19.1657	0	1	1	5
psvid_64926_sp|Q8TD55|PKHO2_HUMAN	PKHO2_HUMAN	AZ910	B2021-05-06	22.3826	0	1	1	1
psvid_65026_sp|Q5GLZ8|HERC4_HUMAN	HERC4_HUMAN	AZ910	B2021-05-06	22.4379	0	1	1	2
psvid_65329_sp|Q13596|SNX1_HUMAN	SNX1_HUMAN	AZ910	B2021-05-06	20.5207	0	1	1	5
psvid_65370_sp|Q9Y3R5|DOP1B_HUMAN	DOP1B_HUMAN	AZ910	B2021-05-06	19.2851	0	1	1	3
psvid_65475_sp|Q9HB71|CYBP_HUMAN	CYBP_HUMAN	AZ910	B2021-05-06	20.6498	0	1	1	1
psvid_66029_sp|O60353|FZD6_HUMAN	FZD6_HUMAN	AZ910	B2021-05-06	20.548	0	1	1	4
psvid_66474_sp|P09668|CATH_HUMAN	CATH_HUMAN	AZ910	B2021-05-06	20.6171	0	2	1	6
psvid_66776_sp|Q6Y1H2|HACD2_HUMAN	HACD2_HUMAN	AZ910	B2021-05-06	18.8398	0	1	1	4
psvid_67092_sp|Q9UIF3|TEKT2_HUMAN	TEKT2_HUMAN	AZ910	B2021-05-06	19.8857	0	1	1	4
psvid_67702_sp|P05543|THBG_HUMAN	THBG_HUMAN	AZ910	B2021-05-06	21.6236	0	1	1	5
psvid_68198_sp|P51636|CAV2_HUMAN	CAV2_HUMAN	AZ910	B2021-05-06	17.7857	0	1	1	1
psvid_68869_sp|P14207|FOLR2_HUMAN	FOLR2_HUMAN	AZ910	B2021-05-06	22.5732	0	2	1	7
psvid_69739_sp|Q6P4A7|SFXN4_HUMAN	SFXN4_HUMAN	AZ910	B2021-05-06	19.8489	0	1	1	5
psvid_70039_sp|Q7Z3Q1|S46A3_HUMAN	S46A3_HUMAN	AZ910	B2021-05-06	20.7353	0	1	1	5
psvid_70049_sp|Q86UX7|URP2_HUMAN	URP2_HUMAN	AZ910	B2021-05-06	20.5217	0	1	1	2
psvid_70244_sp|Q6P179|ERAP2_HUMAN	ERAP2_HUMAN	AZ910	B2021-05-06	24.7852	0	1	1	4
psvid_70751_sp|P48729|KC1A_HUMAN	KC1A_HUMAN	AZ910	B2021-05-06	19.0982	0	1	1	7
psvid_71275_sp|Q7Z7N9|T179B_HUMAN	T179B_HUMAN	AZ910	B2021-05-06	21.4793	0	2	1	5
psvid_71472_sp|Q9BVQ7|AFG2B_HUMAN	AFG2B_HUMAN	AZ910	B2021-05-06	16.9342	0	1	1	1
psvid_71475_sp|Q8TAD4|ZNT5_HUMAN	ZNT5_HUMAN	AZ910	B2021-05-06	21.9042	0	1	1	5
psvid_71495_sp|Q15833|STXB2_HUMAN	STXB2_HUMAN	AZ910	B2021-05-06	19.2991	0	1	1	3
psvid_71704_sp|Q86WA6|BPHL_HUMAN	BPHL_HUMAN	AZ910	B2021-05-06	22.8644	0	2	1	7
psvid_71949_sp|Q13287|NMI_HUMAN	NMI_HUMAN	AZ910	B2021-05-06	20.5828	0	1	1	1
psvid_73384_sp|O94992|HEXI1_HUMAN	HEXI1_HUMAN	AZ910	B2021-05-06	20.4858	0	1	1	2
psvid_73452_sp|P11150|LIPC_HUMAN	LIPC_HUMAN	AZ910	B2021-05-06	28.2894	0	1	1	5
psvid_73968_sp|Q96DA6|TIM14_HUMAN	TIM14_HUMAN	AZ910	B2021-05-06	22.4759	0	1	1	5
psvid_74041_sp|Q13496|MTM1_HUMAN	MTM1_HUMAN	AZ910	B2021-05-06	20.1345	0	1	1	1
psvid_74308_sp|Q9GZT6|CC90B_HUMAN	CC90B_HUMAN	AZ910	B2021-05-06	22.5108	0	2	1	6
psvid_75267_sp|Q9Y584|TIM22_HUMAN	TIM22_HUMAN	AZ910	B2021-05-06	19.6285	0	1	1	2
psvid_75682_sp|P00156|CYB_HUMAN	CYB_HUMAN	AZ910	B2021-05-06	20.4635	0	1	1	4
psvid_76620_sp|Q9BX67|JAM3_HUMAN	JAM3_HUMAN	AZ910	B2021-05-06	23.8799	0	1	1	6
psvid_76837_sp|Q00169|PIPNA_HUMAN	PIPNA_HUMAN	AZ910	B2021-05-06	19.6122	0	1	1	3
psvid_77570_sp|O43715|TRIA1_HUMAN	TRIA1_HUMAN	AZ910	B2021-05-06	19.9652	0	1	1	3
psvid_77897_sp|O43237|DC1L2_HUMAN	DC1L2_HUMAN	AZ910	B2021-05-06	20.9822	0	1	1	2
psvid_78150_sp|P13284|GILT_HUMAN	GILT_HUMAN	AZ910	B2021-05-06	20.5771	0	1	1	4
psvid_79584_sp|Q96F85|CNRP1_HUMAN	CNRP1_HUMAN	AZ910	B2021-05-06	21.7811	0	1	1	3
psvid_79696_sp|P18031|PTN1_HUMAN	PTN1_HUMAN	AZ910	B2021-05-06	21.9848	0	1	1	5
psvid_79932_sp|Q7Z4T8|GLTL5_HUMAN	GLTL5_HUMAN	AZ910	B2021-05-06	21.4343	0	1	1	2
psvid_80142_sp|O43583|DENR_HUMAN	DENR_HUMAN	AZ910	B2021-05-06	21.5254	0	1	1	5
psvid_80855_sp|P18283|GPX2_HUMAN	GPX2_HUMAN	AZ910	B2021-05-06	19.3735	0	1	1	1
psvid_82077_sp|Q15404|RSU1_HUMAN	RSU1_HUMAN	AZ910	B2021-05-06	22.0297	0	2	1	7
psvid_82241_sp|P14652|HXB2_HUMAN	HXB2_HUMAN	AZ910	B2021-05-06	19.0788	0	1	1	3
psvid_82405_sp|Q14061|COX17_HUMAN	COX17_HUMAN	AZ910	B2021-05-06	19.3917	0	1	1	4
psvid_82588_sp|Q5T7N3|KANK4_HUMAN	KANK4_HUMAN	AZ910	B2021-05-06	19.8589	0	1	1	2
psvid_83305_sp|O00233|PSMD9_HUMAN	PSMD9_HUMAN	AZ910	B2021-05-06	19.4333	0	1	1	4
psvid_83462_sp|O76021|RL1D1_HUMAN	RL1D1_HUMAN	AZ910	B2021-05-06	23.8832	0	2	1	4
psvid_8353_sp|Q96EK6|GNA1_HUMAN	GNA1_HUMAN	AZ910	B2021-05-06	22.7433	0	1	1	4
psvid_83931_sp|Q8WU10|PYRD1_HUMAN	PYRD1_HUMAN	AZ910	B2021-05-06	20.6747	0	1	1	5
psvid_84031_sp|Q96E52|OMA1_HUMAN	OMA1_HUMAN	AZ910	B2021-05-06	18.3707	0	1	1	5
psvid_84302_sp|P21462|FPR1_HUMAN	FPR1_HUMAN	AZ910	B2021-05-06	19.8461	0	1	1	1
psvid_84836_sp|Q86W42|THOC6_HUMAN	THOC6_HUMAN	AZ910	B2021-05-06	18.6537	0	1	1	3
psvid_85127_sp|Q8NBL1|PGLT1_HUMAN	PGLT1_HUMAN	AZ910	B2021-05-06	20.682	0	1	1	6
psvid_85748_sp|O15393|TMPS2_HUMAN	TMPS2_HUMAN	AZ910	B2021-05-06	18.8919	0	1	1	5
psvid_85842_sp|P60983|GMFB_HUMAN	GMFB_HUMAN	AZ910	B2021-05-06	24.7255	0	1	1	2
psvid_86161_sp|P38571|LICH_HUMAN	LICH_HUMAN	AZ910	B2021-05-06	21.3624	0	1	1	6
psvid_86594_sp|Q53H12|AGK_HUMAN	AGK_HUMAN	AZ910	B2021-05-06	23.2301	0	3	1	7
psvid_86697_sp|Q9HBU9|POPD2_HUMAN	POPD2_HUMAN	AZ910	B2021-05-06	20.2973	0	1	1	3
psvid_86963_sp|O95178|NDUB2_HUMAN	NDUB2_HUMAN	AZ910	B2021-05-06	21.1543	0	1	1	3
psvid_87438_sp|Q9BZL1|UBL5_HUMAN	UBL5_HUMAN	AZ910	B2021-05-06	18.2266	0	1	1	6
psvid_88104_sp|Q99584|S10AD_HUMAN	S10AD_HUMAN	AZ910	B2021-05-06	20.8987	0	1	1	3
psvid_883650_sp|Q86XT4|TRI50_HUMAN	TRI50_HUMAN	AZ910	B2021-05-06	20.2284	0	1	1	1
psvid_885052_sp|P62861|RS30_HUMAN	RS30_HUMAN	AZ910	B2021-05-06	21.2633	0	1	1	6
psvid_88827_sp|Q9GZZ1|NAA50_HUMAN	NAA50_HUMAN	AZ910	B2021-05-06	21.7999	0	2	1	6
psvid_89002_sp|P20292|AL5AP_HUMAN	AL5AP_HUMAN	AZ910	B2021-05-06	20.8743	0	1	1	2
psvid_89090_sp|Q9UBI1|COMD3_HUMAN	COMD3_HUMAN	AZ910	B2021-05-06	18.4537	0	1	1	1
psvid_90200_sp|Q8N5Z0|AADAT_HUMAN	AADAT_HUMAN	AZ910	B2021-05-06	19.8667	0	1	1	4
psvid_90367_sp|Q9Y3D7|TIM16_HUMAN	TIM16_HUMAN	AZ910	B2021-05-06	22.2256	0	2	1	5
psvid_90803_sp|Q49AH0|CDNF_HUMAN	CDNF_HUMAN	AZ910	B2021-05-06	23.3218	0	3	1	7
psvid_90910_sp|O43677|NDUC1_HUMAN	NDUC1_HUMAN	AZ910	B2021-05-06	18.7917	0	1	1	2
psvid_90913_sp|Q99969|RARR2_HUMAN	RARR2_HUMAN	AZ910	B2021-05-06	19.7154	0	1	1	3
psvid_90974_sp|Q8IVB4|SL9A9_HUMAN	SL9A9_HUMAN	AZ910	B2021-05-06	18.9014	0	1	1	2
psvid_91201_sp|P34810|CD68_HUMAN	CD68_HUMAN	AZ910	B2021-05-06	21.26	0	1	1	3
psvid_92024_sp|O95302|FKBP9_HUMAN	FKBP9_HUMAN	AZ910	B2021-05-06	19.6122	0	1	1	2
psvid_92731_sp|Q9NWW5|CLN6_HUMAN	CLN6_HUMAN	AZ910	B2021-05-06	19.1202	0	1	1	2
psvid_93094_sp|P15529|MCP_HUMAN	MCP_HUMAN	AZ910	B2021-05-06	21.707	0	2	1	6
psvid_93963_sp|Q02127|PYRD_HUMAN	PYRD_HUMAN	AZ910	B2021-05-06	21.8572	0	2	1	4
psvid_94042_sp|P01034|CYTC_HUMAN	CYTC_HUMAN	AZ910	B2021-05-06	23.1926	0	2	1	7
psvid_94453_sp|P54709|AT1B3_HUMAN	AT1B3_HUMAN	AZ910	B2021-05-06	19.113	0	1	1	1
psvid_94842_sp|P04066|FUCO_HUMAN	FUCO_HUMAN	AZ910	B2021-05-06	20.7393	0	1	1	5
psvid_96569_sp|Q9GZQ3|COMD5_HUMAN	COMD5_HUMAN	AZ910	B2021-05-06	18.0737	0	1	1	2
psvid_96766_sp|Q9BY43|CHM4A_HUMAN	CHM4A_HUMAN	AZ910	B2021-05-06	21.2366	0	3	1	4
psvid_97344_sp|O75431|MTX2_HUMAN	MTX2_HUMAN	AZ910	B2021-05-06	23.6746	0	2	1	6
psvid_97387_sp|Q12893|TM115_HUMAN	TM115_HUMAN	AZ910	B2021-05-06	20.2512	0	1	1	1
psvid_98079_sp|A2RUH7|MBPHL_HUMAN	MBPHL_HUMAN	AZ910	B2021-05-06	26.4301	0	1	1	3
psvid_98402_sp|P10153|RNAS2_HUMAN	RNAS2_HUMAN	AZ910	B2021-05-06	19.2232	0	1	1	2
psvid_98688_sp|Q86Y39|NDUAB_HUMAN	NDUAB_HUMAN	AZ910	B2021-05-06	23.0859	0	2	1	7
psvid_99094_sp|Q9BUT1|DHRS6_HUMAN	DHRS6_HUMAN	AZ910	B2021-05-06	21.7976	0	1	1	7
psvid_9953_sp|Q9Y3B4|SF3B6_HUMAN	SF3B6_HUMAN	AZ910	B2021-05-06	19.9845	0	1	1	3
psvid_99903_sp|Q8N9N2|ASCC1_HUMAN	ASCC1_HUMAN	AZ910	B2021-05-06	17.4154	0	1	1	1
psvid_99999_sp|Q9H977|WDR54_HUMAN	WDR54_HUMAN	AZ910	B2021-05-06	24.4047	0	1	1	6
psvid_101736_sp|P05114|HMGN1_HUMAN	HMGN1_HUMAN	AZ941	B2022-03-18	19.6164	0	1	1	1
psvid_110301_sp|P01903|DRA_HUMAN	DRA_HUMAN	AZ941	B2022-03-18	24.6395	0	1	1	7
psvid_23610_sp|P42892|ECE1_HUMAN	ECE1_HUMAN	AZ941	B2022-03-18	22.7618	0	1	1	7
psvid_24000_sp|Q9P0L2|MARK1_HUMAN	MARK1_HUMAN	AZ941	B2022-03-18	21.1335	0	1	1	2
psvid_34593_sp|P17480|UBF1_HUMAN	UBF1_HUMAN	AZ941	B2022-03-18	22.0387	0	1	1	6
psvid_37451_sp|Q9BRZ2|TRI56_HUMAN	TRI56_HUMAN	AZ941	B2022-03-18	20.9442	0	1	1	5
psvid_39024_sp|Q6UWH6|TX261_HUMAN	TX261_HUMAN	AZ941	B2022-03-18	19.9272	0	1	1	3
psvid_40261_sp|A5D6W6|FITM1_HUMAN	FITM1_HUMAN	AZ941	B2022-03-18	20.2417	0	1	1	2
psvid_44643_sp|Q86VI4|LAP4B_HUMAN	LAP4B_HUMAN	AZ941	B2022-03-18	22.2087	0	1	1	4
psvid_46141_sp|Q9UNK0|STX8_HUMAN	STX8_HUMAN	AZ941	B2022-03-18	21.5711	0	1	1	5
psvid_50375_sp|Q9UKM9|RALY_HUMAN	RALY_HUMAN	AZ941	B2022-03-18	22.61	0	1	1	6
psvid_52827_sp|Q9Y6E0|STK24_HUMAN	STK24_HUMAN	AZ941	B2022-03-18	19.6748	0	1	1	6
psvid_55515_sp|P31146|COR1A_HUMAN	COR1A_HUMAN	AZ941	B2022-03-18	20.5973	0	1	1	1
psvid_60751_sp|Q96F25|ALG14_HUMAN	ALG14_HUMAN	AZ941	B2022-03-18	23.3137	0	2	1	6
psvid_63168_sp|Q9Y375|CIA30_HUMAN	CIA30_HUMAN	AZ941	B2022-03-18	22.38	0	1	1	4
psvid_63740_sp|Q9NRQ5|SMCO4_HUMAN	SMCO4_HUMAN	AZ941	B2022-03-18	22.4626	0	1	1	6
psvid_68011_sp|Q7Z4G4|TRM11_HUMAN	TRM11_HUMAN	AZ941	B2022-03-18	21.4651	0	1	1	2
psvid_78346_sp|Q14246|AGRE1_HUMAN	AGRE1_HUMAN	AZ941	B2022-03-18	19.1396	0	1	1	3
psvid_82405_sp|Q14061|COX17_HUMAN	COX17_HUMAN	AZ941	B2022-03-18	19.5304	0	1	1	4
psvid_85952_sp|Q9H299|SH3L3_HUMAN	SH3L3_HUMAN	AZ941	B2022-03-18	22.3814	0	1	1	6
psvid_86935_sp|Q5MY95|ENTP8_HUMAN	ENTP8_HUMAN	AZ941	B2022-03-18	20.5292	0	1	1	1
psvid_92213_sp|Q9UMS4|PRP19_HUMAN	PRP19_HUMAN	AZ941	B2022-03-18	19.6992	0	1	1	6
psvid_94842_sp|P04066|FUCO_HUMAN	FUCO_HUMAN	AZ941	B2022-03-18	20.882	0	1	1	5
psvid_107532_sp|Q9NUD9|PIGV_HUMAN	PIGV_HUMAN	AZ942	B2022-03-18	20.4706	0	1	1	2
psvid_108997_sp|Q8N2H4|SYS1_HUMAN	SYS1_HUMAN	AZ942	B2022-03-18	20.4426	0	1	1	2
psvid_23031_sp|P06702|S10A9_HUMAN	S10A9_HUMAN	AZ942	B2022-03-18	21.3071	0	1	1	6
psvid_24320_sp|O14894|T4S5_HUMAN	T4S5_HUMAN	AZ942	B2022-03-18	19.9277	0	1	1	4
psvid_24934_sp|Q08554|DSC1_HUMAN	DSC1_HUMAN	AZ942	B2022-03-18	19.1563	0	1	1	5
psvid_24984_sp|Q96GA7|SDSL_HUMAN	SDSL_HUMAN	AZ942	B2022-03-18	21.1108	0	1	1	3
