trend	scope	x_quantity	y_quantity	x	fitted	local_slope
pooled_psm	pooled_cells_all_common	lfq	log2_psm	21.0935	0.754423	0.467863
pooled_psm	pooled_cells_all_common	lfq	log2_psm	21.176	0.793751	0.488918
pooled_psm	pooled_cells_all_common	lfq	log2_psm	21.2584	0.835047	0.510066
pooled_psm	pooled_cells_all_common	lfq	log2_psm	21.3409	0.877863	0.530768
pooled_psm	pooled_cells_all_common	lfq	log2_psm	21.4233	0.922573	0.551964
pooled_psm	pooled_cells_all_common	lfq	log2_psm	21.5058	0.968885	0.572269
pooled_psm	pooled_cells_all_common	lfq	log2_psm	21.5882	1.01694	0.591181
pooled_psm	pooled_cells_all_common	lfq	log2_psm	21.6707	1.06637	0.603825
pooled_psm	pooled_cells_all_common	lfq	log2_psm	21.7531	1.11652	0.615171
pooled_psm	pooled_cells_all_common	lfq	log2_psm	21.8356	1.16782	0.628564
pooled_psm	pooled_cells_all_common	lfq	log2_psm	21.918	1.22017	0.64529
pooled_psm	pooled_cells_all_common	lfq	log2_psm	22.0005	1.27423	0.66744
pooled_psm	pooled_cells_all_common	lfq	log2_psm	22.0829	1.33023	0.694721
pooled_psm	pooled_cells_all_common	lfq	log2_psm	22.1654	1.38879	0.720929
pooled_psm	pooled_cells_all_common	lfq	log2_psm	22.2478	1.44912	0.745195
pooled_psm	pooled_cells_all_common	lfq	log2_psm	22.3303	1.51168	0.769128
pooled_psm	pooled_cells_all_common	lfq	log2_psm	22.4127	1.57595	0.789092
pooled_psm	pooled_cells_all_common	lfq	log2_psm	22.4952	1.6418	0.807514
pooled_psm	pooled_cells_all_common	lfq	log2_psm	22.5777	1.70911	0.826336
pooled_psm	pooled_cells_all_common	lfq	log2_psm	22.6601	1.77807	0.844747
pooled_psm	pooled_cells_all_common	lfq	log2_psm	22.7426	1.84841	0.860434
pooled_psm	pooled_cells_all_common	lfq	log2_psm	22.825	1.91996	0.876059
pooled_psm	pooled_cells_all_common	lfq	log2_psm	22.9075	1.99288	0.892284
pooled_psm	pooled_cells_all_common	lfq	log2_psm	22.9899	2.0671	0.906954
pooled_psm	pooled_cells_all_common	lfq	log2_psm	23.0724	2.14244	0.92251
pooled_psm	pooled_cells_all_common	lfq	log2_psm	23.1548	2.21922	0.941452
pooled_psm	pooled_cells_all_common	lfq	log2_psm	23.2373	2.29769	0.960471
pooled_psm	pooled_cells_all_common	lfq	log2_psm	23.3197	2.37761	0.975862
pooled_psm	pooled_cells_all_common	lfq	log2_psm	23.4022	2.45861	0.985656
pooled_psm	pooled_cells_all_common	lfq	log2_psm	23.4846	2.54015	0.990591
pooled_psm	pooled_cells_all_common	lfq	log2_psm	23.5671	2.62197	0.99061
