	AZ905	AZ907	AZ909	AZ906	AZ908	AZ910	AZ941	AZ942
1_0	0.26876737720111216	0.28637627432808155	0.30583873957367935	0.2873030583873957	0.3113994439295644	1.0	0.3074606116774791	0.3109360518999073
1_05	0.26546212647671996	0.28538336807968495	1.0	0.27797081306462823	0.30020847810979845	0.30599953671531155	0.2962705582580496	0.2983553393560343
1_050	0.2689367616400278	1.0	0.28538336807968495	0.2751911049339819	0.3110956682881631	0.2865415798007876	0.29997683576557793	0.29719712763493167
1_0506	0.28012048192771083	0.3109360518999073	0.3000463392029657	0.29564411492122333	1.0	0.3113994439295644	0.327386468952734	0.3257645968489342
1_0506_	0.28405931417979613	0.2750231696014829	0.2778035217794254	1.0	0.29564411492122333	0.2873030583873957	0.298887859128823	0.298887859128823
1_0506_A	1.0	0.2682587526083932	0.2647808949686993	0.2835613262230466	0.27961975423139346	0.2682587526083932	0.2886621840945977	0.28958961279851614
2_0318_	0.2888270746407047	0.2994900324524803	0.2960129809921187	0.2985628187297172	0.32707464070468245	0.30737134909596664	1.0	0.4362540565600371
2_0318_A	0.28958961279851614	0.296545328077904	0.2979364711337816	0.29840018548574077	0.325295617899374	0.3106886158126594	0.43612334801762115	1.0
