protein_group	AZ905	AZ907	AZ909	AZ906	AZ908	AZ910	AZ941	AZ942
sp|P62241|RS8_HUMAN	47	34	35	45	33	34	47	48
sp|Q15738|NSDHL_HUMAN	39	41	37	31	26	38	51	52
sp|RS27A_HUMAN|,sp|P62979|RS27A_HUMAN	50	30	41	40	32	34	20	26
sp|O43772|MCAT_HUMAN	42	41	31	44	33	30	57	62
sp|O14983|AT2A1_HUMAN	35	32	39	36	29	41	38	44
sp|P05155|IC1_HUMAN	37	44	34	40	44	31	36	31
sp|P35606|COPB2_HUMAN	29	65	29	22	57	29	17	16
sp|P62937|PPIA_HUMAN	35	42	38	38	36	34	35	34
sp|P09525|ANXA4_HUMAN	34	26	51	32	14	44	32	33
sp|P18621|RL17_HUMAN	56	31	32	55	32	27	39	73
sp|P13010|XRCC5_HUMAN	42	32	41	38	30	41	30	41
sp|Q99536|VAT1_HUMAN	40	43	35	42	34	35	12	11
sp|P04792|HSPB1_HUMAN	41	34	40	41	33	39	21	22
sp|O94826|TOM70_HUMAN	56	31	31	44	26	33	56	56
sp|Q9H9B4|SFXN1_HUMAN	46	36	37	37	33	30	48	45
sp|P27105|STOM_HUMAN	52	30	35	46	25	40	34	40
sp|Q02543|RL18A_HUMAN	35	22	25	32	28	34	41	54
sp|P36542|ATPG_HUMAN	39	38	34	36	36	33	41	48
sp|O94874|UFL1_HUMAN	40	35	37	38	38	32	30	24
sp|P11226|MBL2_HUMAN	26	32	39	32	31	47	35	28
sp|Q09666|AHNK_HUMAN	43	7	51	30	8	54	13	15
sp|P24539|AT5F1_HUMAN	38	42	35	39	29	30	48	46
sp|Q6UW02|CP20A_HUMAN	35	32	34	35	21	30	54	61
sp|Q9Y678|COPG1_HUMAN	20	73	24	20	59	28	2	7
sp|P19338|NUCL_HUMAN	29	24	45	34	31	40	43	35
sp|P61019|RAB2A_HUMAN	40	37	32	38	32	33	43	50
sp|P09110|THIK_HUMAN	41	39	30	32	39	28	49	57
sp|P62820|RAB1A_HUMAN	35	29	38	42	26	34	51	50
sp|Q08830|FGL1_HUMAN	37	35	37	34	32	33	42	40
sp|P40429|RL13A_HUMAN	48	36	32	42	32	29	34	45
sp|P00338|LDHA_HUMAN	39	41	30	38	33	33	34	34
sp|P26885|FKBP2_HUMAN	43	27	36	40	26	38	40	33
sp|P08670|VIME_HUMAN	6	73	12	8	70	10	1	1
sp|P49368|TCPG_HUMAN	34	36	39	36	33	37	17	16
sp|P53007|TXTP_HUMAN	37	27	29	42	30	37	50	54
sp|Q969X5|ERGI1_HUMAN	35	37	44	33	30	29	34	27
sp|P20742|PZP_HUMAN	30	49	32	33	41	27	29	20
sp|P34897|GLYM_HUMAN	22	49	37	18	46	34	16	13
sp|Q969Z3|MARC2_HUMAN	38	27	27	36	30	32	39	43
sp|Q96AG4|LRC59_HUMAN	34	34	32	34	36	34	38	41
sp|P51149|RAB7A_HUMAN	32	42	24	40	35	30	45	48
sp|P17066|HSP76_HUMAN	41	29	36	32	26	36	37	28
sp|P62753|RS6_HUMAN	39	24	34	43	24	34	34	31
sp|P51690|ARSL_HUMAN	28	35	47	23	34	33	20	18
sp|P49411|EFTU_HUMAN	41	43	14	33	27	12	29	31
sp|Q16853|AOC3_HUMAN	41	21	34	44	27	37	31	31
sp|P30519|HMOX2_HUMAN	37	36	34	22	37	32	29	34
sp|P22307|SCP2_HUMAN	30	48	24	28	41	25	43	36
sp|P37268|FDFT_HUMAN	28	27	32	30	19	33	44	37
sp|P80404|GABT_HUMAN	44	34	26	38	32	19	33	30
sp|P09467|F16P1_HUMAN	33	31	35	34	31	30	31	37
sp|P17844|DDX5_HUMAN	20	42	41	18	38	35	7	6
sp|P00558|PGK1_HUMAN	45	29	27	31	40	31	34	38
sp|Q9Y6C9|MTCH2_HUMAN	41	31	27	38	30	29	49	41
sp|Q562R1|ACTBL_HUMAN	41	39	22	38	32	31	32	32
sp|P36269|GGT5_HUMAN	42	21	30	45	25	37	34	29
sp|P46783|RS10_HUMAN	35	17	26	51	26	36	36	56
sp|O75306|NDUS2_HUMAN	39	25	25	41	28	23	42	38
sp|P62888|RL30_HUMAN	32	25	30	28	18	27	40	40
sp|PRDX1_HUMAN|,sp|Q06830|PRDX1_HUMAN	42	35	30	32	29	29	33	34
sp|O95487|SC24B_HUMAN	27	45	28	27	44	30	11	11
sp|Q92499|DDX1_HUMAN	17	39	49	26	36	52	13	15
sp|P05198|IF2A_HUMAN	33	31	38	32	28	32	25	20
sp|P21964|COMT_HUMAN	37	30	31	33	23	27	58	58
sp|P46781|RS9_HUMAN	35	26	28	41	18	34	53	50
sp|P12111|CO6A3_HUMAN	30	41	32	27	34	37	7	8
sp|Q9UHQ9|NB5R1_HUMAN	30	32	22	39	16	23	34	34
sp|P02751|FINC_HUMAN	36	36	26	33	35	21	30	23
sp|P54868|HMCS2_HUMAN	40	41	22	39	37	20	39	33
sp|Q9Y3I0|RTCB_HUMAN	25	31	43	17	30	41	8	6
sp|P62917|RL8_HUMAN	47	24	21	45	27	31	43	43
sp|Q15041|AR6P1_HUMAN	43	23	35	32	37	27	25	33
sp|O60701|UGDH_HUMAN	41	43	22	39	34	22	29	28
sp|P83111|LACTB_HUMAN	44	43	29	38	30	23	15	12
sp|O95292|VAPB_HUMAN	37	28	31	30	28	31	37	39
sp|P27635|RL10_HUMAN	31	27	29	36	24	33	30	34
sp|P02749|APOH_HUMAN	37	35	28	41	28	23	37	32
sp|Q14108|SCRB2_HUMAN	39	30	24	37	27	22	35	34
sp|Q6P2Q9|PRP8_HUMAN	18	33	47	22	19	39	13	13
sp|O75165|DJC13_HUMAN	35	26	46	35	26	40	20	19
sp|Q9UP52|TFR2_HUMAN	36	38	31	33	33	29	14	11
sp|A6NMY6|AXA2L_HUMAN	34	18	33	34	9	29	35	32
sp|P09871|C1S_HUMAN	33	38	26	36	27	18	46	35
sp|Q99613|EIF3C_HUMAN	32	32	36	25	29	37	12	17
sp|P62249|RS16_HUMAN	34	28	25	38	27	34	32	26
sp|Q9NZN3|EHD3_HUMAN	55	16	21	48	17	20	28	29
sp|Q92841|DDX17_HUMAN	19	38	41	19	27	38	10	10
sp|P12074|CX6A1_HUMAN	30	29	27	32	24	23	36	33
sp|P19827|ITIH1_HUMAN	39	38	32	33	31	23	28	22
sp|P41091|IF2G_HUMAN	26	27	32	28	20	31	37	38
sp|Q9UJM8|HAOX1_HUMAN	30	42	22	36	36	19	39	37
sp|P08240|SRPRA_HUMAN	28	27	40	21	22	36	35	29
sp|Q13228|SBP1_HUMAN	41	33	31	33	27	29	15	13
sp|P04004|VTNC_HUMAN	30	28	30	28	27	28	37	25
sp|P11177|ODPB_HUMAN	23	39	34	22	29	34	7	11
sp|Q07020|RL18_HUMAN	29	25	35	33	27	29	27	38
sp|Q14534|ERG1_HUMAN	31	27	31	30	17	35	42	46
sp|P05166|PCCB_HUMAN	28	55	8	17	42	6	9	12
sp|Q13438|OS9_HUMAN	41	29	28	37	24	26	26	19
sp|P42330|AK1C3_HUMAN	35	40	20	38	35	18	36	37
sp|P49821|NDUV1_HUMAN	50	27	22	42	24	21	46	49
sp|Q8IZ83|A16A1_HUMAN	67	7	19	59	10	16	32	37
sp|P60174|TPIS_HUMAN	40	33	29	27	28	23	35	35
sp|P62263|RS14_HUMAN	31	20	34	31	28	31	31	31
sp|O96005|CLPT1_HUMAN	24	38	31	21	28	28	33	30
sp|Q13200|PSMD2_HUMAN	33	32	31	26	24	36	11	12
sp|Q9Y2H6|FND3A_HUMAN	22	18	26	21	12	24	40	41
sp|P00748|FA12_HUMAN	32	36	29	32	32	25	19	12
sp|P35221|CTNA1_HUMAN	42	26	21	36	22	21	19	24
sp|P21980|TGM2_HUMAN	35	35	22	30	34	23	37	34
sp|O00159|MYO1C_HUMAN	54	38	19	42	29	20	18	18
sp|P48047|ATPO_HUMAN	37	38	23	33	28	20	34	47
sp|Q9NUQ7|UFSP2_HUMAN	33	24	28	30	19	26	32	37
sp|O60313|OPA1_HUMAN	43	27	25	39	18	21	24	18
sp|Q9H853|TBA4B_HUMAN	37	35	26	23	32	26	23	28
sp|P25311|ZA2G_HUMAN	35	28	25	35	23	29	27	24
sp|P04217|A1BG_HUMAN	35	36	24	33	35	22	21	19
sp|P07602|SAP_HUMAN	35	29	20	30	27	21	33	26
sp|P17516|AK1C4_HUMAN	31	37	24	28	30	25	26	31
sp|B5ME19|EIFCL_HUMAN	30	31	33	23	25	33	11	14
sp|Q16772|GSTA3_HUMAN	36	34	26	42	29	18	26	24
sp|P62750|RL23A_HUMAN	34	19	28	40	22	32	28	32
sp|Q8TCJ2|STT3B_HUMAN	33	33	25	29	26	19	32	23
sp|O95782|AP2A1_HUMAN	37	25	37	29	18	29	19	28
sp|Q99805|TM9S2_HUMAN	32	26	32	35	21	25	37	26
sp|P12694|ODBA_HUMAN	35	37	32	28	27	25	15	11
sp|P36776|LONM_HUMAN	27	34	32	24	32	28	7	7
sp|O94979|SC31A_HUMAN	41	24	31	32	14	41	1	3
sp|O95486|SC24A_HUMAN	20	40	32	24	29	29	8	6
sp|O15173|PGRC2_HUMAN	33	27	27	24	18	31	43	45
sp|P13674|P4HA1_HUMAN	20	29	41	15	29	35	1	4
sp|Q8NI22|MCFD2_HUMAN	31	24	32	28	17	32	32	36
sp|Q9H4B7|TBB1_HUMAN	26	33	27	24	37	26	18	19
sp|O60716|CTND1_HUMAN	40	20	29	35	18	21	23	18
sp|Q9UBQ7|GRHPR_HUMAN	35	32	20	30	24	32	25	24
sp|Q00796|DHSO_HUMAN	34	27	25	29	29	26	34	28
sp|Q9NVI7|ATD3A_HUMAN	38	17	20	32	13	14	38	35
sp|O95470|SGPL1_HUMAN	29	21	22	27	14	18	38	37
sp|P26927|HGFL_HUMAN	28	28	31	31	23	28	23	22
sp|Q9Y6B6|SAR1B_HUMAN	27	36	27	25	30	23	28	23
sp|O75643|U520_HUMAN	18	26	48	14	18	37	4	8
sp|P48735|IDHP_HUMAN	40	39	15	29	23	13	28	28
sp|Q9BRX8|PXL2A_HUMAN	32	25	27	29	25	24	34	36
sp|P00533|EGFR_HUMAN	32	16	35	32	20	33	18	22
sp|P00736|C1R_HUMAN	32	28	26	33	28	25	31	25
sp|P35580|MYH10_HUMAN	60	22	17	50	17	18	18	19
sp|P61619|S61A1_HUMAN	18	23	33	23	18	29	37	34
sp|P62913|RL11_HUMAN	25	23	33	23	17	23	29	31
sp|Q9H553|ALG2_HUMAN	32	24	26	32	15	21	41	43
sp|P11940|PABP1_HUMAN	18	8	35	21	6	40	27	21
sp|P50990|TCPQ_HUMAN	26	31	33	19	26	30	12	10
sp|P30041|PRDX6_HUMAN	34	29	28	29	25	25	22	19
sp|P38435|VKGC_HUMAN	30	32	26	22	26	27	25	25
sp|P61224|RAP1B_HUMAN	31	30	26	26	27	25	24	28
sp|P02748|CO9_HUMAN	34	19	33	32	19	28	28	19
sp|Q9BY49|PECR_HUMAN	26	28	27	35	20	29	18	20
sp|Q96CS3|FAF2_HUMAN	30	29	27	31	14	27	32	34
sp|P11182|ODB2_HUMAN	25	25	23	31	28	26	31	29
sp|P05783|K1C18_HUMAN	23	49	38	15	44	31	1	0
sp|P62081|RS7_HUMAN	36	19	27	33	18	23	32	33
sp|P06744|G6PI_HUMAN	34	31	23	26	17	23	25	21
sp|Q9BSE5|GDAH_HUMAN	32	26	23	28	30	22	34	33
sp|P63220|RS21_HUMAN	29	13	23	30	21	28	34	29
sp|P15311|EZRI_HUMAN	35	20	34	26	20	27	23	20
sp|P60891|PRPS1_HUMAN	52	17	25	44	14	26	20	19
sp|P30533|AMRP_HUMAN	37	30	24	25	27	25	22	19
sp|P30084|ECHM_HUMAN	40	29	21	32	24	20	29	32
sp|P62244|RS15A_HUMAN	36	19	26	27	18	26	39	54
sp|Q9H488|OFUT1_HUMAN	34	22	26	31	21	29	23	19
sp|P0CG47|UBB_HUMAN	30	25	33	25	29	25	8	9
sp|P62987|RL40_HUMAN	30	25	33	25	29	25	8	9
sp|P0CG48|UBC_HUMAN	30	25	33	25	29	25	8	9
sp|P39019|RS19_HUMAN	20	20	29	24	27	29	32	29
sp|P62277|RS13_HUMAN	39	18	25	31	21	18	33	33
sp|Q92575|UBXN4_HUMAN	24	21	32	24	17	30	32	31
sp|P02656|APOC3_HUMAN	33	27	18	31	25	26	30	32
sp|Q06520|ST2A1_HUMAN	25	27	23	27	23	21	26	29
sp|Q00688|FKBP3_HUMAN	32	27	21	27	33	16	22	18
sp|P09601|HMOX1_HUMAN	22	22	28	20	27	22	34	31
sp|Q05639|EF1A2_HUMAN	24	25	32	24	24	26	20	22
sp|Q8NC51|SERB1_HUMAN	30	21	33	28	19	27	20	28
sp|Q9HB55|CP343_HUMAN	19	34	21	28	25	18	45	51
sp|Q9Y673|ALG5_HUMAN	29	30	26	25	18	22	36	42
sp|P07357|CO8A_HUMAN	32	25	28	28	21	26	20	20
sp|P47985|UCRI_HUMAN	33	21	26	29	18	20	28	23
sp|Q93084|AT2A3_HUMAN	26	20	26	18	19	26	28	31
sp|P16152|CBR1_HUMAN	22	37	24	21	33	22	20	14
sp|Q6ZWL3|CP4V2_HUMAN	27	10	19	25	9	32	34	28
sp|Q99685|MGLL_HUMAN	26	34	20	22	44	18	17	17
sp|Q15005|SPCS2_HUMAN	22	26	22	21	21	18	37	33
sp|Q14677|EPN4_HUMAN	23	33	31	22	23	29	1	2
sp|Q9BV23|ABHD6_HUMAN	26	27	25	23	24	23	35	42
sp|P62834|RAP1A_HUMAN	31	27	25	28	26	23	21	23
sp|Q8WUY1|THEM6_HUMAN	25	20	26	24	23	24	36	38
sp|CRP_HUMAN|,sp|P02741|CRP_HUMAN	17	28	31	17	28	28	15	19
sp|P08758|ANXA5_HUMAN	21	11	39	26	15	35	16	20
sp|ANXA5_HUMAN|	21	11	39	26	15	35	16	20
sp|P14854|CX6B1_HUMAN	31	22	17	32	23	25	29	37
sp|P08574|CY1_HUMAN	43	25	19	38	17	21	31	33
sp|Q00266|METK1_HUMAN	28	30	17	25	27	18	23	24
sp|P02647|APOA1_HUMAN	30	24	24	22	32	24	21	25
sp|Q8NBJ7|SUMF2_HUMAN	30	27	25	28	23	25	18	19
sp|P18859|ATP5J_HUMAN	36	26	20	29	22	24	28	34
sp|P78371|TCPB_HUMAN	27	30	31	25	32	29	6	11
sp|Q96HR9|REEP6_HUMAN	29	23	29	26	25	22	20	33
sp|P32754|HPPD_HUMAN	25	27	21	29	25	20	29	23
sp|P28838|AMPL_HUMAN	32	25	25	32	25	21	20	19
sp|P62280|RS11_HUMAN	33	19	21	29	16	22	32	37
sp|A5A3E0|POTEF_HUMAN	31	30	19	28	22	23	29	29
sp|Q00765|REEP5_HUMAN	24	26	24	29	29	22	21	24
sp|Q9NY15|STAB1_HUMAN	32	41	14	25	30	9	9	13
sp|P01889|HLAB_HUMAN	22	29	23	21	17	34	14	20
sp|P62879|GBB2_HUMAN	25	20	23	26	14	21	29	38
sp|P98187|CP4F8_HUMAN	27	25	21	26	25	25	30	26
sp|P61006|RAB8A_HUMAN	27	19	25	24	25	23	39	39
sp|P19823|ITIH2_HUMAN	31	33	23	28	24	20	16	14
sp|Q9NP72|RAB18_HUMAN	29	27	21	29	15	26	30	34
sp|P60842|IF4A1_HUMAN	27	25	31	24	23	22	16	20
sp|Q9Y262|EIF3L_HUMAN	22	21	28	20	22	34	18	19
sp|P46977|STT3A_HUMAN	22	24	30	25	21	23	25	26
sp|Q16795|NDUA9_HUMAN	25	20	16	29	15	16	36	30
sp|Q8NHH9|ATLA2_HUMAN	28	26	28	25	21	23	19	15
sp|P04439|HLAA_HUMAN	22	29	24	25	25	24	16	17
sp|P62805|H4_HUMAN	19	24	22	22	29	30	17	12
sp|P15907|SIAT1_HUMAN	24	28	29	20	21	26	13	11
sp|P62873|GBB1_HUMAN	30	19	25	28	12	21	26	31
sp|Q92616|GCN1_HUMAN	19	33	30	15	25	28	3	4
sp|Q9Y4W6|AFG32_HUMAN	28	14	12	33	16	8	30	24
sp|Q16706|MA2A1_HUMAN	21	24	29	29	9	30	10	8
sp|P08754|GNAI3_HUMAN	37	17	26	28	17	25	26	22
sp|O75844|FACE1_HUMAN	25	24	24	20	20	26	24	25
sp|P08571|CD14_HUMAN	32	27	23	34	22	18	15	23
sp|P62269|RS18_HUMAN	23	17	28	28	19	25	30	26
sp|P02786|TFR1_HUMAN	16	28	32	10	23	32	3	1
sp|P14927|QCR7_HUMAN	37	20	18	31	18	17	23	25
sp|Q07955|SRSF1_HUMAN	17	24	30	21	31	22	13	12
sp|O00763|ACACB_HUMAN	27	32	22	20	21	26	13	11
sp|P14550|AK1A1_HUMAN	34	26	22	25	21	20	28	21
sp|P51991|ROA3_HUMAN	21	15	33	22	15	33	15	14
sp|O43175|SERA_HUMAN	29	22	24	25	20	26	19	20
sp|Q86UE4|LYRIC_HUMAN	26	16	28	25	17	18	29	26
sp|Q96S66|CLCC1_HUMAN	20	18	23	23	17	26	28	30
sp|Q03154|ACY1_HUMAN	27	29	19	24	29	19	15	21
sp|Q969V3|NCLN_HUMAN	21	24	33	21	20	23	16	11
sp|TRFL_HUMAN|,sp|P02788|TRFL_HUMAN	22	13	35	22	7	35	2	3
sp|Q6IB77|GLYAT_HUMAN	25	33	13	21	25	9	19	16
sp|O60762|DPM1_HUMAN	26	24	22	24	18	22	24	26
sp|P10515|ODP2_HUMAN	22	23	31	20	19	34	17	14
sp|P13073|COX41_HUMAN	25	26	20	26	20	20	35	34
sp|P04264|K2C1_HUMAN	26	24	34	21	22	18	3	33
sp|Q14318|FKBP8_HUMAN	32	26	17	29	15	21	35	37
sp|Q658P3|STEA3_HUMAN	18	26	29	23	21	25	14	10
sp|Q96BM9|ARL8A_HUMAN	29	25	18	21	17	14	20	36
sp|Q6UW68|TM205_HUMAN	26	26	23	22	22	23	17	20
sp|Q9H0U4|RAB1B_HUMAN	26	20	24	25	20	19	37	38
sp|ALBU_BOVIN|	13	38	9	36	11	10	33	9
sp|P80723|BASP1_HUMAN	32	26	21	28	20	18	24	24
sp|Q9Y679|AUP1_HUMAN	18	20	9	22	19	22	33	39
sp|P50440|GATM_HUMAN	28	26	14	27	27	11	19	25
sp|P51687|SUOX_HUMAN	31	29	21	27	21	20	15	13
sp|K2C1_HUMAN|	26	24	33	21	21	17	3	32
sp|P05386|RLA1_HUMAN	30	19	19	23	20	22	32	47
sp|A2RRP1|NBAS_HUMAN	28	11	23	23	12	18	29	32
sp|P40227|TCPZ_HUMAN	26	25	23	20	24	24	11	11
sp|Q2VIR3|IF2GL_HUMAN	20	21	25	20	14	22	29	28
sp|Q6NVV1|R13P3_HUMAN	31	20	22	28	18	22	21	27
sp|P61353|RL27_HUMAN	28	20	21	29	19	22	22	23
sp|Q9Y3B3|TMED7_HUMAN	22	24	29	18	19	24	20	17
sp|P07910|HNRPC_HUMAN	22	21	26	20	25	26	8	5
sp|P21399|ACOHC_HUMAN	29	25	25	23	18	20	14	20
sp|Q99832|TCPH_HUMAN	30	24	23	22	20	25	7	11
sp|P20674|COX5A_HUMAN	32	19	17	24	24	22	27	32
sp|Q9UL12|SARDH_HUMAN	10	59	12	14	40	9	4	2
sp|P25398|RS12_HUMAN	24	14	18	23	11	19	29	30
sp|P26599|PTBP1_HUMAN	20	21	25	17	21	31	15	16
sp|Q96CW1|AP2M1_HUMAN	25	25	23	24	16	21	24	26
sp|P45880|VDAC2_HUMAN	28	23	20	30	20	19	24	20
sp|Q9UJZ1|STML2_HUMAN	33	15	16	36	14	13	34	32
sp|Q9Y4P3|TBL2_HUMAN	21	22	25	20	15	23	30	28
sp|P08708|RS17_HUMAN	28	17	19	31	18	21	33	29
sp|P11217|PYGM_HUMAN	17	26	27	10	22	26	12	18
sp|P30038|AL4A1_HUMAN	23	35	14	22	26	16	25	23
sp|P62841|RS15_HUMAN	27	23	19	27	20	18	29	34
sp|P61586|RHOA_HUMAN	26	23	22	24	21	19	23	21
sp|Q02252|MMSA_HUMAN	24	33	18	22	25	21	17	19
sp|O75489|NDUS3_HUMAN	28	18	18	23	23	24	23	29
sp|P18085|ARF4_HUMAN	21	24	26	20	18	21	25	14
sp|P48741|HSP77_HUMAN	26	19	25	22	14	24	26	21
sp|Q9BT09|CNPY3_HUMAN	25	14	27	26	16	22	29	25
sp|P17174|AATC_HUMAN	28	22	19	26	22	22	15	16
sp|P26373|RL13_HUMAN	27	19	19	23	22	20	22	17
sp|Q96JB5|CK5P3_HUMAN	21	24	22	23	22	22	16	14
sp|O60488|ACSL4_HUMAN	7	44	6	5	37	6	9	12
sp|Q9HCU5|SEC12_HUMAN	23	21	24	18	19	20	27	31
sp|P10321|HLAC_HUMAN	18	29	24	18	17	33	7	13
sp|P10635|CP2D6_HUMAN	0	97	72	0	95	68	0	0
sp|P61978|HNRPK_HUMAN	15	23	25	15	24	27	8	6
sp|Q9H2F3|3BHS7_HUMAN	16	24	17	19	14	18	30	35
sp|O95299|NDUAA_HUMAN	25	22	20	28	16	16	36	33
sp|P05165|PCCA_HUMAN	17	38	7	15	37	5	12	7
sp|P17987|TCPA_HUMAN	27	23	24	24	18	23	9	8
sp|Q02978|M2OM_HUMAN	26	17	15	23	10	14	45	42
sp|Q68CK6|ACS2B_HUMAN	32	31	12	26	26	13	20	21
sp|P28332|ADH6_HUMAN	20	22	24	18	18	18	22	22
sp|Q9NVJ2|ARL8B_HUMAN	30	25	18	27	18	14	25	36
sp|P08519|APOA_HUMAN	15	27	27	10	20	24	13	6
sp|P62910|RL32_HUMAN	25	19	18	24	16	22	32	29
sp|Q12906|ILF3_HUMAN	32	11	20	31	8	26	11	11
sp|Q58FF3|ENPLL_HUMAN	21	23	18	20	24	23	19	18
sp|Q93099|HGD_HUMAN	21	23	24	19	18	19	21	19
sp|P50579|MAP2_HUMAN	19	14	33	14	8	25	17	15
sp|P60228|EIF3E_HUMAN	23	19	25	13	16	27	14	19
sp|Q13347|EIF3I_HUMAN	23	22	28	19	16	24	11	9
sp|P50914|RL14_HUMAN	24	18	24	22	15	21	26	26
sp|Q08211|DHX9_HUMAN	23	18	30	23	12	22	17	18
sp|P51689|ARSD_HUMAN	27	18	25	26	11	21	19	15
sp|O15260|SURF4_HUMAN	15	21	21	22	22	22	20	20
sp|Q9Y277|VDAC3_HUMAN	31	22	19	29	18	16	21	18
sp|P05026|AT1B1_HUMAN	29	19	21	24	12	16	17	23
sp|P13637|AT1A3_HUMAN	26	16	19	24	18	20	20	24
sp|P10606|COX5B_HUMAN	25	20	15	22	26	17	28	19
sp|P10909|CLUS_HUMAN	23	27	19	23	21	15	20	22
sp|Q14914|PTGR1_HUMAN	9	43	26	17	29	27	2	0
sp|P31689|DNJA1_HUMAN	26	25	19	23	20	16	24	17
sp|P04424|ARLY_HUMAN	24	23	21	25	20	14	10	10
sp|P67809|YBOX1_HUMAN	26	15	25	15	11	24	32	29
sp|Q8N5K1|CISD2_HUMAN	28	25	16	23	19	16	30	20
sp|P02760|AMBP_HUMAN	34	20	15	28	21	16	24	20
sp|P21589|5NTD_HUMAN	32	9	12	22	6	9	23	21
sp|Q9BUP3|HTAI2_HUMAN	18	27	17	20	18	15	22	24
sp|Q9UBX3|DIC_HUMAN	23	23	19	22	19	15	25	26
sp|P02042|HBD_HUMAN	11	35	15	16	36	15	10	6
sp|P61026|RAB10_HUMAN	21	19	16	24	19	21	30	29
sp|P63096|GNAI1_HUMAN	33	15	20	23	14	23	18	13
sp|Q13011|ECH1_HUMAN	19	23	19	19	19	23	16	20
sp|Q9P035|HACD3_HUMAN	19	19	19	17	15	25	27	34
sp|Q96G23|CERS2_HUMAN	19	15	16	16	15	21	23	33
sp|Q96HY6|DDRGK_HUMAN	17	20	22	21	23	19	19	18
sp|Q14558|KPRA_HUMAN	40	16	22	35	16	17	16	18
sp|P30419|NMT1_HUMAN	24	19	22	22	15	23	16	19
sp|Q15067|ACOX1_HUMAN	20	26	13	16	17	15	24	27
sp|Q96KP4|CNDP2_HUMAN	21	23	16	22	17	24	12	15
sp|P17858|PFKAL_HUMAN	34	22	14	24	13	18	4	2
sp|Q9GZV4|IF5A2_HUMAN	17	23	24	17	23	19	9	11
sp|Q58FF7|H90B3_HUMAN	29	10	14	24	12	21	21	16
sp|Q9HD20|AT131_HUMAN	20	24	20	19	13	15	40	33
sp|P20073|ANXA7_HUMAN	20	6	29	16	7	29	17	14
sp|P20340|RAB6A_HUMAN	25	10	23	24	16	23	21	19
sp|Q06136|KDSR_HUMAN	20	14	13	17	11	17	28	31
sp|O00303|EIF3F_HUMAN	21	21	20	19	19	24	12	15
sp|P22830|HEMH_HUMAN	21	28	17	19	17	11	20	16
sp|P40763|STAT3_HUMAN	35	17	17	23	15	10	17	15
sp|Q9H2M3|BHMT2_HUMAN	21	20	22	20	16	22	15	11
sp|P09622|DLDH_HUMAN	18	25	16	20	17	27	5	6
sp|P22413|ENPP1_HUMAN	27	16	17	24	14	22	26	21
sp|P40926|MDHM_HUMAN	25	32	16	22	22	15	12	14
sp|P08559|ODPA_HUMAN	16	24	21	16	20	25	3	4
sp|P19440|GGT1_HUMAN	19	10	22	22	9	16	21	23
sp|Q99442|SEC62_HUMAN	13	18	20	13	16	15	24	24
sp|P38398|BRCA1_HUMAN	0	0	0	0	0	0	336	36
sp|Q7Z7H5|TMED4_HUMAN	18	20	20	25	24	16	15	15
sp|O15229|KMO_HUMAN	25	19	17	20	11	12	25	21
sp|P07858|CATB_HUMAN	27	17	21	20	15	19	25	22
sp|P61204|ARF3_HUMAN	19	22	19	17	18	20	23	15
sp|P84077|ARF1_HUMAN	19	22	19	17	18	20	23	15
sp|P02750|A2GL_HUMAN	15	26	28	14	23	22	10	9
sp|P0DP25|CALM3_HUMAN,sp|P0DP23|CALM1_HUMAN,sp|P0DP24|CALM2_HUMAN	24	25	16	22	20	15	18	22
sp|Q5QNW6|H2B2F_HUMAN	14	23	24	10	18	22	13	17
sp|Q99879|H2B1M_HUMAN	14	23	24	10	18	22	13	17
sp|P58876|H2B1D_HUMAN	14	23	24	10	18	22	13	17
sp|Q99877|H2B1N_HUMAN	14	23	24	10	18	22	13	17
sp|P62807|H2B1C_HUMAN	14	23	24	10	18	22	13	17
sp|Q99880|H2B1L_HUMAN	14	23	24	10	18	22	13	17
sp|Q93079|H2B1H_HUMAN	14	23	24	10	18	22	13	17
sp|P57053|H2BFS_HUMAN	14	23	24	10	18	22	13	17
sp|O60814|H2B1K_HUMAN	14	23	24	10	18	22	13	17
sp|Q9NSD9|SYFB_HUMAN	33	12	10	28	7	9	25	24
sp|A6NIZ1|RP1BL_HUMAN	22	23	18	19	21	16	16	21
sp|Q14696|MESD_HUMAN	25	17	17	23	17	16	26	25
sp|P50225|ST1A1_HUMAN	25	25	9	22	15	11	17	19
sp|Q9Y619|ORNT1_HUMAN	25	18	18	32	12	13	29	27
sp|Q13884|SNTB1_HUMAN	28	13	22	28	10	17	18	19
sp|Q9UBM7|DHCR7_HUMAN	17	18	22	15	12	22	21	18
sp|P09651|ROA1_HUMAN	18	13	25	17	10	29	8	10
sp|P35268|RL22_HUMAN	19	13	24	20	12	21	25	22
sp|P21695|GPDA_HUMAN	21	26	15	20	18	13	15	12
sp|P50991|TCPD_HUMAN	24	25	24	24	19	19	10	6
sp|P05164|PERM_HUMAN	31	6	21	29	6	23	23	27
sp|Q9NR31|SAR1A_HUMAN	17	22	20	18	19	17	19	15
sp|P40261|NNMT_HUMAN	15	16	20	17	16	23	22	21
sp|P50993|AT1A2_HUMAN	25	15	18	23	16	19	19	25
sp|Q8WUD1|RAB2B_HUMAN	24	17	19	22	14	16	27	31
sp|Q8TCT9|SPP_HUMAN	16	17	20	16	15	24	19	18
sp|O00571|DDX3X_HUMAN	17	23	22	15	21	19	5	5
