feature	accession	entry	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance	prior_variance	prior_sd	notrend_se	notrend_t	notrend_p	notrend_q	hit_q05_trend	hit_q05_notrend	hit_q10_trend	hit_q10_notrend
psvid_46749_sp|P14780|MMP9_HUMAN	P14780	MMP9_HUMAN	0.756121889243861	0.18374245053081995	1.3285013279569022	0.2569983237640908	2.942127707953208	0.014683892372084756	0.9999440583760631	0.3267372247789325	22.788116149811252	0.16980197790051596	0.41207035552259275	0.2510018232837865	3.0124159233256966	0.013066601697655241	0.9999441429887896	False	False	False	False
psvid_52093_sp|Q96S06|LMF1_HUMAN	Q96S06	LMF1_HUMAN	0.6177522283751227	0.11945548351381291	1.1160489732364325	0.22373519994777846	2.7610864473686343	0.020036146557469322	0.9999440583760631	0.22781222126570505	22.616439573578596	0.17186322567466736	0.4145638981805668	0.21573302284159365	2.8635033257227374	0.01685882934527947	0.9999441429887896	False	False	False	False
psvid_78187_sp|P02654|APOC1_HUMAN	P02654	APOC1_HUMAN	0.5370082937660445	0.026004720732075715	1.0480118668000133	0.22944056481566097	2.3405115577425994	0.04122677986896011	0.9999440583760631	0.28197705991425515	25.69327432269803	0.14364016770995736	0.3789989019904376	0.23415019409404444	2.2934351852399475	0.044756711073899114	0.9999441429887896	False	False	False	False
psvid_99364_sp|P30046|DOPD_HUMAN	P30046	DOPD_HUMAN	-0.6590919557493438	-1.3139830993456938	-0.004200812152993616	0.2940460728824147	-2.2414581133103804	0.048801772528241666	0.9999440583760631	0.4320792865817316	24.441157892104975	0.15244125722278673	0.3904372641318791	0.2949366998751817	-2.2346895317818163	0.04945314986897089	0.9999441429887896	False	False	False	False
psvid_41137_sp|Q86UT6|NLRX1_HUMAN	Q86UT6	NLRX1_HUMAN	0.5229932164412121	-0.023552458838250967	1.0695388917206752	0.24539896597815167	2.1311956811088404	0.0588163127911456	0.9999440583760631	0.29930415123579546	23.083861305015432	0.16635993186113565	0.40787244557721186	0.24051722693274338	2.174452213302203	0.05476216627771446	0.9999441429887896	False	False	False	False
psvid_67692_sp|P04062|GBA1_HUMAN	P04062	GBA1_HUMAN	0.4528424470363124	-0.10805234530551233	1.0137372393781372	0.2518417184306388	1.7981232412890813	0.10226829073378006	0.9999440583760631	0.3160163285100484	23.028026348006037	0.16699924158012647	0.4086554068896268	0.24684854229029216	1.834495123344795	0.0964702946741871	0.9999441429887896	False	False	False	False
psvid_62663_sp|P35914|HMGCL_HUMAN	P35914	HMGCL_HUMAN	0.43405406375763533	-0.10942159038428123	0.9775297178995519	0.24402052672456181	1.778760457506814	0.10554282389141025	0.9999440583760631	0.3023397151140639	23.637466376671135	0.16028522392179717	0.4003563711517492	0.24165378685010602	1.7961815099834215	0.10269528371518254	0.9999441429887896	False	False	False	False
psvid_68413_sp|P00846|ATP6_HUMAN	P00846	ATP6_HUMAN	-0.5218340571416427	-1.1792535198407177	0.13558540555743248	0.29518128796421783	-1.767842605270087	0.10743122591385254	0.9999440583760631	0.421802432980157	22.870638691895618	0.16882769530076566	0.41088647495478076	0.29043850644596786	-1.7967109923791142	0.10260679700330519	0.9999441429887896	False	False	False	False
psvid_66580_sp|Q9Y281|COF2_HUMAN	Q9Y281	COF2_HUMAN	0.5459562282481727	-0.1441725194312058	1.2360849759275512	0.3098677543934816	1.7619007480039282	0.10847187782524464	0.9999440583760631	0.4504520402570852	22.294070539989143	0.17585951270965217	0.41935606912223433	0.3030726998239021	1.801403519899338	0.10182563801823029	0.9999441429887896	False	False	False	False
psvid_89442_sp|Q8N1S5|S39AB_HUMAN	Q8N1S5	S39AB_HUMAN	0.38859021514034975	-0.10820003659842659	0.8853804668791261	0.22305878465214216	1.7420977871207903	0.11200686534531744	0.9999440583760631	0.2366903197190183	23.273704104293316	0.1642228059636043	0.40524413131297077	0.21858218768143642	1.7777762189235864	0.1058149940680112	0.9999441429887896	False	False	False	False
psvid_73785_sp|Q8N2U9|S66A2_HUMAN	Q8N2U9	S66A2_HUMAN	-0.7401019544191048	-1.6912654115585928	0.21106150272038326	0.42707231877534	-1.7329663428933986	0.11367194943494538	0.9999440583760631	0.7069403778139953	23.300986598647512	0.16392031586547276	0.4048707397003058	0.4253580785139567	-1.7399503895747	0.11250014733719356	0.9999441429887896	False	False	False	False
psvid_40213_sp|Q7L576|CYFP1_HUMAN	Q7L576	CYFP1_HUMAN	-0.43302515658815377	-0.9936876639388211	0.1276373507625136	0.2517374224875539	-1.7201461439828754	0.11604760267685196	0.9999440583760631	0.3257539888611409	23.91385229212137	0.15743858099599262	0.3967853084427303	0.2506180522149323	-1.7278290720126879	0.11472242015391282	0.9999441429887896	False	False	False	False
psvid_165824_sp|P61960|UFM1_HUMAN	P61960	UFM1_HUMAN	0.601147543763326	-0.1795268529088444	1.3818219404354966	0.3505227437963165	1.7150029617269111	0.11701324759234899	0.9999440583760631	0.5504586476124399	23.616316233589988	0.16050849626337238	0.40063511611361824	0.34912579201513644	1.7218651772861946	0.11583038164368749	0.9999441429887896	False	False	False	False
psvid_43856_sp|Q8N128|F177A_HUMAN	Q8N128	F177A_HUMAN	0.5854460514075415	-0.17594634134000464	1.3468384441550876	0.34186512552375403	1.7125059203117299	0.11748469225528421	0.9999440583760631	0.5297289074089236	23.29378918728809	0.16400000289832048	0.40496913820477787	0.33936672343087443	1.725113309545775	0.11522575153216993	0.9999441429887896	False	False	False	False
psvid_62500_sp|Q9Y230|RUVB2_HUMAN	Q9Y230	RUVB2_HUMAN	0.40040759343861954	-0.12263216335748639	0.9234473502347255	0.2348448103950285	1.7049880419546026	0.11891447330235269	0.9999440583760631	0.24184051209906984	21.427946764804872	0.18741077102573628	0.4329096568866722	0.22026731349905096	1.8178257458083753	0.09913467384392836	0.9999441429887896	False	False	False	False
psvid_47747_sp|O14936|CSKP_HUMAN	O14936	CSKP_HUMAN	-0.6962753296095476	-1.6283185425744742	0.2357678833553789	0.4184873306180593	-1.6637907020535754	0.1270320565322028	0.9999440583760631	0.6840117259845708	22.34191543212554	0.17525601584153366	0.4186358988925026	0.41395608716671667	-1.6820028771050048	0.123488131112343	0.9999441429887896	False	False	False	False
psvid_89411_sp|O76062|ERG24_HUMAN	O76062	ERG24_HUMAN	-0.4813889877166364	-1.134953222342739	0.17217524690946617	0.2934502908572813	-1.640444745548944	0.13185001362819151	0.9999440583760631	0.42929349316149235	24.240311953158773	0.15427025233882585	0.3927725198366427	0.2937135003027983	-1.6389746716455242	0.13226314181876384	0.9999441429887896	False	False	False	False
psvid_107318_sp|Q9NYL4|FKB11_HUMAN	Q9NYL4	FKB11_HUMAN	-0.3908939234052822	-0.9293697195378392	0.14758187272727485	0.2417755908646137	-1.6167633879309586	0.1369034027845908	0.9999440583760631	0.31400328204238226	25.59260446111276	0.14416118590622753	0.3796856409007688	0.24607649918117447	-1.588505707395835	0.14326247623767677	0.9999441429887896	False	False	False	False
psvid_90367_sp|Q9Y3D7|TIM16_HUMAN	Q9Y3D7	TIM16_HUMAN	1.0395435434556353	-0.40896281899666165	2.488049905907932	0.6503792448395286	1.5983651872410645	0.1409476624588586	0.9999440583760631	1.1363268350865035	21.716531826959596	0.18343016633915268	0.4282874809507659	0.6468560191132283	1.607070990667661	0.13912521542156722	0.9999441429887896	False	False	False	False
psvid_82107_sp|O00560|SDCB1_HUMAN	O00560	SDCB1_HUMAN	-0.5012302572547611	-1.209860130268067	0.20739961575854482	0.3181747582391464	-1.5753300482687145	0.1461603063223469	0.9999440583760631	0.463067481606663	21.62549884099634	0.18467162382980176	0.4297343642644858	0.30872502306635585	-1.623549177440758	0.13554235068869944	0.9999441429887896	False	False	False	False
psvid_59818_sp|Q96DC8|ECHD3_HUMAN	Q96DC8	ECHD3_HUMAN	-0.40975780997486133	-0.9943418340583374	0.17482621410861476	0.2624781816525745	-1.5611118889768574	0.14946207107649678	0.9999440583760631	0.33501282988173536	22.297344668113162	0.17581809870956766	0.4193066881288297	0.2542541699874694	-1.6116070387166344	0.13813062993676758	0.9999441429887896	False	False	False	False
psvid_50763_sp|O75027|ABCB7_HUMAN	O75027	ABCB7_HUMAN	-0.5027005726292977	-1.2536499857373593	0.24824884047876394	0.33717622847237766	-1.4909134457872382	0.16674111001468414	0.9999440583760631	0.523589237719293	23.880013438377958	0.15777958133234513	0.39721477985133574	0.3364955399999399	-1.4939293775762599	0.16606747961331556	0.9999441429887896	False	False	False	False
psvid_80162_sp|P14406|CX7A2_HUMAN	P14406	CX7A2_HUMAN	0.35056874428639606	-0.17351532618643584	0.874652814759228	0.23531370715520203	1.489793129879923	0.1670304138024808	0.9999440583760631	0.28834867313044366	24.512538253383763	0.1518153469968285	0.3896348893474871	0.2364671565788517	1.482526154406971	0.16902038672261038	0.9999441429887896	False	False	False	False
psvid_34586_sp|Q9UN36|NDRG2_HUMAN	Q9UN36	NDRG2_HUMAN	-0.37106539788412096	-0.9650478338656865	0.22291703809744456	0.2666980678687606	-1.3913314065204194	0.19420608337131107	0.9999440583760631	0.3638210055882159	23.96046914861374	0.15697248979111517	0.3961975388504012	0.2658686125050206	-1.395672074217162	0.19303370103069267	0.9999441429887896	False	False	False	False
psvid_34336_sp|Q9NRK6|ABCBA_HUMAN	Q9NRK6	ABCBA_HUMAN	-0.28750202530598035	-0.7513744758435732	0.17637042523161245	0.2082786944558117	-1.3803717468902064	0.19745178536470145	0.9999440583760631	0.16087856101484382	22.177153864669503	0.17734949286448876	0.42112883167088994	0.19680983462928664	-1.460811274230897	0.17476936295377343	0.9999441429887896	False	False	False	False
psvid_82947_sp|Q9Y2V2|CHSP1_HUMAN	Q9Y2V2	CHSP1_HUMAN	-0.3784666920973585	-0.9903841328489699	0.23345074865425286	0.2747508836249771	-1.3774903545495012	0.1983126796805342	0.9999440583760631	0.368139242933789	22.445180535480763	0.17396580866585076	0.41709208655385777	0.2676463268823699	-1.4140552441195802	0.18772143192166776	0.9999441429887896	False	False	False	False
psvid_80814_sp|P49591|SYSC_HUMAN	P49591	SYSC_HUMAN	0.657832690954101	-0.4098979674746903	1.7255633493828924	0.47941098314906394	1.3721685861951982	0.19991103083270964	0.9999440583760631	0.803744617010482	21.79327836706605	0.18239372192418948	0.4270757800720962	0.47414252666074397	1.3874155005395459	0.19546084974839406	0.9999441429887896	False	False	False	False
