feature	accession	entry	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance	prior_variance	prior_sd	notrend_se	notrend_t	notrend_p	notrend_q	hit_q05_trend	hit_q05_notrend	hit_q10_trend	hit_q10_notrend
psvid_52093_sp|Q96S06|LMF1_HUMAN	Q96S06	LMF1_HUMAN	0.6177522283751227	0.19294993145616623	1.042554525294079	0.18653471798996168	3.311727891900353	0.009609687770227018	0.9999394394164971	0.20336758113321102	22.616439573578596	0.10855590154434129	0.3294782262067424	0.17485273303827367	3.5329858312246243	0.006979372076250178	0.9999395271090271	False	False	False	False
psvid_46749_sp|P14780|MMP9_HUMAN	P14780	MMP9_HUMAN	0.756121889243861	0.2285507101141785	1.2836930683735437	0.23166150897098745	3.2639081589447616	0.010353127970640901	0.9999394394164971	0.32856582878854806	22.788116149811252	0.10647646860273682	0.3263073223247324	0.22393373481013604	3.3765430201257747	0.008862371529403354	0.9999395271090271	False	False	False	False
psvid_68413_sp|P00846|ATP6_HUMAN	P00846	ATP6_HUMAN	-0.5218340571416427	-0.9339673408666989	-0.10970077341658646	0.1809716341260669	-2.8835129862292512	0.01887741761201415	0.9999394394164971	0.19109462836773689	22.870638691895618	0.10550525011780996	0.32481571716561064	0.17073561146530206	-3.0563867295352907	0.014574028549493452	0.9999395271090271	False	False	False	False
psvid_99364_sp|P30046|DOPD_HUMAN	P30046	DOPD_HUMAN	-0.6590919557493438	-1.191757029743693	-0.1264268817549945	0.2338982865236107	-2.8178571358743674	0.020964371685574818	0.9999394394164971	0.3511368378652254	24.441157892104975	0.09025944976805138	0.30043210508873947	0.23378450177837756	-2.8192286089783147	0.02119716086636352	0.9999395271090271	False	False	False	False
psvid_78187_sp|P02654|APOC1_HUMAN	P02654	APOC1_HUMAN	0.5370082937660445	0.09600342576603749	0.9780131617660516	0.1936494206392571	2.7730952769872674	0.02252137923010472	0.9999394394164971	0.2653750867824611	25.69327432269803	0.0813162934220219	0.2851601189192169	0.19777720381250105	2.715218353856115	0.02501307317205009	0.9999395271090271	False	False	False	False
psvid_41137_sp|Q86UT6|NLRX1_HUMAN	Q86UT6	NLRX1_HUMAN	0.5229932164412121	0.08994040677934362	0.9560460261030805	0.1901575963946547	2.7503146145988695	0.023358662001616983	0.9999394394164971	0.22368064114320102	23.083861305015432	0.10307978178191492	0.321060402077109	0.18199712146334943	2.8736345511186148	0.01944417173104413	0.9999395271090271	False	False	False	False
psvid_34616_sp|Q14678|KANK1_HUMAN	Q14678	KANK1_HUMAN	-0.5507065936346418	-1.0123029873177707	-0.08911019995151287	0.20269135488524115	-2.71697129828965	0.024641781857387166	0.9999394394164971	0.2693880344431772	23.84080566366396	0.09541413977161209	0.30889179298196334	0.19936530030799632	-2.7622991201772016	0.023205603015298622	0.9999395271090271	False	False	False	False
psvid_88323_sp|O75380|NDUS6_HUMAN	O75380	NDUS6_HUMAN	0.4664652327776375	0.01864790626832291	0.9142825592869521	0.196640835789478	2.3721686846216987	0.04292130763380742	0.9999394394164971	0.2636941708778445	24.717957549991915	0.08810155764637874	0.296819065503513	0.1971153258708617	2.366458471540858	0.04369943688490342	0.9999395271090271	False	False	False	False
psvid_89411_sp|O76062|ERG24_HUMAN	O76062	ERG24_HUMAN	-0.4813889877166364	-0.9523406671252744	-0.010437308307998383	0.20679934958578836	-2.3278070684498826	0.04609965960431181	0.9999394394164971	0.28445294825710055	24.240311953158773	0.09190628676935049	0.3031604967164266	0.20542319737463888	-2.3434012997018403	0.045343279167464286	0.9999395271090271	False	False	False	False
psvid_28839_sp|Q02928|CP4AB_HUMAN	Q02928	CP4AB_HUMAN	-0.388279682347175	-0.7682063190191881	-0.00835304567516193	0.16682938991266577	-2.3274057559668426	0.046129452608777946	0.9999394394164971	0.21942010502818873	28.574726768834083	0.06604159537396329	0.2569855937089923	0.18046638383304334	-2.1515346742160473	0.0616185449510248	0.9999395271090271	False	False	False	False
