feature	first_member_id	log2fc	ci_low	ci_high	se	t	p	q	residual_sd	mean_log2_abundance	prior_variance	prior_sd	notrend_se	notrend_t	notrend_p	notrend_q	hit_q05_trend	hit_q05_notrend	hit_q10_trend	hit_q10_notrend
sp|O75452|RDH16_HUMAN	psvid_59530_sp|O75452|RDH16_HUMAN	-0.7499994589897652	-1.1544149297334292	-0.34558398824610115	0.1741181288762144	-4.307417405817412	0.0028451307596639936	1.0	0.27386108120357655	-9.19454272774161	0.03386643095048663	0.18402834279123048	0.20379844991933696	-3.680103844198096	0.007949927483781125	1.0	False	False	False	False
sp|P61966|AP1S1_HUMAN	psvid_87408_sp|P61966|AP1S1_HUMAN	-1.4521216731816393	-2.3126950243825846	-0.5915483219806938	0.37051357455812534	-3.9192131487043094	0.004788607592455167	1.0	0.5434673156092394	-13.569891439918516	0.2358107917802927	0.4856035335335738	0.34749024874551643	-4.178884669207212	0.004203377817398032	1.0	False	False	False	False
sp|P56134|ATPK_HUMAN	psvid_86283_sp|P56134|ATPK_HUMAN	0.858438115505344	0.340758389258242	1.376117841752446	0.22288322730469745	3.8515151000205017	0.005255674990868314	1.0	0.3519625243103041	-11.056189082180017	0.053658235450017244	0.231642473329088	0.24311472737787215	3.531000054024195	0.009688023244329458	1.0	False	False	False	False
sp|Q8N8J7|F241A_HUMAN	psvid_81790_sp|Q8N8J7|F241A_HUMAN	-1.248250367505236	-2.0027136784536563	-0.49378705655681576	0.324828671283344	-3.84279615027087	0.005319309739342171	1.0	0.4218291780555485	-13.910984148657356	0.2726799302894294	0.5221876389665208	0.2802490018174675	-4.454076051690096	0.003005029914955644	1.0	False	False	False	False
sp|O00168|PLM_HUMAN	psvid_36643_sp|O00168|PLM_HUMAN	1.204219514435962	0.4600362255980105	1.9484028032739134	0.3204026828032557	3.7584564021126408	0.005979458686558824	1.0	0.48757554975703327	-12.743770359923776	0.1449177662084584	0.38068066172115755	0.3162804455133627	3.807442197323844	0.006732262321900123	1.0	False	False	False	False
sp|Q08722|CD47_HUMAN	psvid_40342_sp|Q08722|CD47_HUMAN	1.2276211217864592	0.43227165672486767	2.022970586848051	0.34243190648608984	3.5850079929287406	0.00763022144400918	1.0	0.41725770829981873	-15.04390687069981	0.34709219915738226	0.58914531242927	0.2777778910800119	4.419434235796873	0.003132756689122172	1.0	False	False	False	False
sp|Q9H0C2|ADT4_HUMAN	psvid_79092_sp|Q9H0C2|ADT4_HUMAN	0.5879780877509253	0.18107926697724952	0.9948769085246011	0.1751873171042889	3.3562822781337665	0.010590510451599335	1.0	0.08673199292104178	-12.91149904797934	0.16173735528284072	0.4021658305759463	0.131439966743534	4.473358464082615	0.002936429936334384	1.0	False	False	False	False
sp|P06576|ATPB_HUMAN	psvid_44001_sp|P06576|ATPB_HUMAN	0.2528738650546185	0.07248959065712049	0.43325813945211655	0.07766313261713431	3.256034833171648	0.012253561251019007	1.0	0.011130262082645845	-7.451660379272444	0.03430976761777887	0.18522895998676575	0.12089984227034302	2.091597973214635	0.0750538904919773	1.0	False	False	False	False
sp|P07148|FABPL_HUMAN	psvid_73804_sp|P07148|FABPL_HUMAN	-0.7880006050468795	-1.3575226819049595	-0.21847852818879943	0.2452035729342287	-3.2136587392152154	0.013037782877591482	1.0	0.4087350146214499	-8.029302220823672	0.03301870447191556	0.18171049631739922	0.27318468903793547	-2.8844976920996284	0.023668645916240728	1.0	False	False	False	False
sp|O14561|ACPM_HUMAN	psvid_87262_sp|O14561|ACPM_HUMAN	1.581876969758241	0.38082811700323993	2.782925822513242	0.5171028164329964	3.0591149757607496	0.016377358074816422	1.0	0.868721026739694	-12.52404017721433	0.12507316492772638	0.3536568462899119	0.5346675414399739	2.958617920769809	0.021306415680494736	1.0	False	False	False	False
