batch	1	2	3	4	5	6
B2021-05-06	control/AZ905	control/AZ907	control/AZ909	raloxifene-d0/AZ906	raloxifene-d0/AZ908	raloxifene-d0/AZ910
B2022-03-18	control/AZ941	raloxifene-d0/AZ942				
